fips,city
geoId/3301314200,geoId/3314200
geoId/3301327380,geoId/3327380
geoId/3301562900,geoId/3362900
geoId/3301718820,geoId/3318820
geoId/3301765140,geoId/3365140
geoId/3301769940,geoId/3369940
geoId/3301912900,geoId/3312900
geoId/4400374300,geoId/4474300
geoId/4400549960,geoId/4449960
geoId/4400714140,geoId/4414140
geoId/4400719180,geoId/4419180
geoId/4400722960,geoId/4422960
geoId/4400754640,geoId/4454640
geoId/4400759000,geoId/4459000
geoId/4400780780,geoId/4480780
geoId/5000174650,geoId/5074650
geoId/5000710675,geoId/5010675
geoId/5000766175,geoId/5066175
geoId/5000785150,geoId/5085150
geoId/5001161675,geoId/5061675
geoId/5001948850,geoId/5048850
geoId/5002161225,geoId/5061225
geoId/5002303175,geoId/5003175
geoId/5002346000,geoId/5046000
geoId/51510,geoId/5101000
geoId/51520,geoId/5109816
geoId/51530,geoId/5111032
geoId/51550,geoId/5116000
geoId/51570,geoId/5118448
geoId/51580,geoId/5119728
geoId/51590,geoId/5121344
geoId/51595,geoId/5125808
geoId/51600,geoId/5126496
geoId/51610,geoId/5127200
geoId/51620,geoId/5129600
geoId/51630,geoId/5129744
geoId/51640,geoId/5130208
geoId/51650,geoId/5135000
geoId/51660,geoId/5135624
geoId/51670,geoId/5138424
geoId/51678,geoId/5145512
geoId/51680,geoId/5147672
geoId/51683,geoId/5148952
geoId/51685,geoId/5148968
geoId/51690,geoId/5149784
geoId/51700,geoId/5156000
geoId/51710,geoId/5157000
geoId/51720,geoId/5157688
geoId/51730,geoId/5161832
geoId/51735,geoId/5163768
geoId/51740,geoId/5164000
geoId/51750,geoId/5165392
geoId/51760,geoId/5167000
geoId/51770,geoId/5168000
geoId/51775,geoId/5170000
geoId/51790,geoId/5175216
geoId/51800,geoId/5176432
geoId/51810,geoId/5182000
geoId/51820,geoId/5183680
geoId/51830,geoId/5186160
geoId/51840,geoId/5186720
