key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11,p12,v12,p13,v13
"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas",Name1,Coefficient of variation - Percentage distribution of people aged 14 or over who are underemployed due to insufficient hours worked,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade subocupadas por insuficiência de horas trabalhadas,unit,Percent,scalingFactor,100,employmentStatus,Underemployed,measurementDenominator,"-age,-statType,-name,-alternateName",statType,coefficientOfVariationValue,laborCondition,WorkedInsufficientHour,,,,,,,,,,
"Pessoas de 14 anos ou mais de idade, na força de trabalho potencial",#ignore,"ignore, mapped in 4094",,,,,,,,,,,,,,,#Multiply,1000,,,,,,,,
"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho potencial",#ignore,"ignore, mapped in 4094",,,,,,,,,,,statType,coefficientOfVariationValue,,,,,,,,,,,,
"Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial",#ignore,"ignore, mapped in 4094",,,,,,,,,measurementDenominator,"-age,-name,-alternateName",,,,,,,,,,,,,,
"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial",#ignore,"ignore, mapped in 4094",,,,,,,,,measurementDenominator,"-age,-statType,-name,-alternateName",statType,coefficientOfVariationValue,,,,,,,,,,,,
Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial,Name1,Persons aged 14 or over who are unemployed or in the potential workforce,AlternateName1,Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial,,,,,employmentStatus,Unemployed__InLaborForce,,,,,,,#Multiply,1000,,,,,,,,
Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial,Name1,Coefficient of variation - People aged 14 and over who are unemployed or in the potential labor force,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial,unit,Percent,scalingFactor,100,employmentStatus,Unemployed__InLaborForce,,,statType,coefficientOfVariationValue,,,,,,,,,,,,
Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial,Name1,Percentage distribution of people aged 14 and over who are unemployed or in the potential labor force,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial,,,,,employmentStatus,Unemployed__InLaborForce,measurementDenominator,"-age,-name,-alternateName",,,,,,,,,,,,,,
Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial,Name1,Coefficient of variation - Percentage distribution of people aged 14 or over who are unemployed or in the potential labor force,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial,unit,Percent,scalingFactor,100,employmentStatus,Unemployed__InLaborForce,measurementDenominator,"-age,-statType,-name,-alternateName",statType,coefficientOfVariationValue,,,,,,,,,,,,
Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas,Name1,People aged 14 or over who are unemployed or underemployed due to insufficient hours worked,AlternateName1,Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas,,,,,employmentStatus,Unemployed__Underemployed,,,,,laborCondition,WorkedInsufficientHour,#Multiply,1000,,,,,,,,
Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas,Name1,Coefficient of variation - People aged 14 or over who are unemployed or underemployed due to insufficient hours worked,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas,unit,Percent,scalingFactor,100,employmentStatus,Unemployed__Underemployed,,,statType,coefficientOfVariationValue,laborCondition,WorkedInsufficientHour,,,,,,,,,,
Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas,Name1,Percentage distribution of people aged 14 or over who are unemployed or underemployed due to insufficient hours worked,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas,,,,,employmentStatus,Unemployed__Underemployed,measurementDenominator,"-age,-name,-alternateName",,,laborCondition,WorkedInsufficientHour,,,,,,,,,,
Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas,Name1,Coefficient of variation - Percentage distribution of people aged 14 or over who are unemployed or underemployed due to insufficient hours worked,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas,unit,Percent,scalingFactor,100,employmentStatus,Unemployed__Underemployed,measurementDenominator,"-age,-statType,-name,-alternateName",statType,coefficientOfVariationValue,laborCondition,WorkedInsufficientHour,,,,,,,,,,
Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial,Name1,People aged 14 or over who are unemployed or underemployed due to insufficient hours worked or in the potential workforce,AlternateName1,Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial,,,,,employmentStatus,Unemployed__Underemployed__InLaborForce,,,,,laborCondition,WorkedInsufficientHour,#Multiply,1000,,,,,,,,
Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial,Name1,Coefficient of variation - People aged 14 or over who are unemployed or underemployed due to insufficient hours worked or in the potential workforce,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial,unit,Percent,scalingFactor,100,employmentStatus,Unemployed__Underemployed__InLaborForce,,,statType,coefficientOfVariationValue,laborCondition,WorkedInsufficientHour,,,,,,,,,,
Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial,Name1,Percentage distribution of people aged 14 or over who are unemployed or underemployed due to insufficient hours worked or in the potential workforce,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial,,,,,employmentStatus,Unemployed__Underemployed__InLaborForce,measurementDenominator,"-age,-name,-alternateName",,,laborCondition,WorkedInsufficientHour,,,,,,,,,,
Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial,Name1,Coefficient of variation - Percentage distribution of people aged 14 or over who are unemployed or underemployed due to insufficient hours worked or in the potential workforce,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial,unit,Percent,scalingFactor,100,employmentStatus,Unemployed__Underemployed__InLaborForce,measurementDenominator,"-age,-statType,-name,-alternateName",statType,coefficientOfVariationValue,laborCondition,WorkedInsufficientHour,,,,,,,,,,
Pessoas de 14 anos ou mais de idade na força de trabalho ampliada,Name1,Persons 14 years and older in the expanded workforce,AlternateName1,Pessoas de 14 anos ou mais de idade na força de trabalho ampliada,,,,,employmentStatus,ExpandedLaborForce,,,,,,,#Multiply,1000,,,,,,,,
Coeficiente de variação - Pessoas de 14 anos ou mais de idade na força de trabalho ampliada,Name1,Coefficient of variation - Persons aged 14 and over in the expanded labor force,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade na força de trabalho ampliada,unit,Percent,scalingFactor,100,employmentStatus,ExpandedLaborForce,,,statType,coefficientOfVariationValue,,,,,,,,,,,,
Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho ampliada,Name1,Percentage distribution of persons aged 14 and over in the expanded labor force,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho ampliada,,,,,employmentStatus,ExpandedLaborForce,measurementDenominator,"-age,-name,-alternateName",,,,,,,,,,,,,,
Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho ampliada,Name1,Coefficient of variation - Percentage distribution of people aged 14 and over in the expanded workforce,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho ampliada,unit,Percent,scalingFactor,100,employmentStatus,ExpandedLaborForce,measurementDenominator,"-age,-statType,-name,-alternateName",statType,coefficientOfVariationValue,,,,,,,,,,,,
Total,value,{Number},#ignore,"ignore, mapped in 6398",,,,,,,,,,,,,,,,,,,,,,
14 a 17 anos,value,{Number},name,"""{Name1} 14 to 17 years old""",alternateName,"""{AlternateName1} 14 a 17 anos@pt""",age,[14 17 Years],observationDate,{YEAR}-{MONTH},,,,,,,,,,,,,,,,
18 a 24 anos,value,{Number},name,"""{Name1} 18 to 24 years old""",alternateName,"""{AlternateName1} 18 a 24 anos@pt""",age,[18 24 Years],observationDate,{YEAR}-{MONTH},,,,,,,,,,,,,,,,
25 a 39 anos,value,{Number},name,"""{Name1} 25 to 39 years old""",alternateName,"""{AlternateName1} 25 a 39 anos@pt""",age,[25 39 Years],observationDate,{YEAR}-{MONTH},,,,,,,,,,,,,,,,
40 a 59 anos,value,{Number},name,"""{Name1} 40 to 59 years old""",alternateName,"""{AlternateName1} 40 a 59 anos@pt""",age,[40 59 Years],observationDate,{YEAR}-{MONTH},,,,,,,,,,,,,,,,
60 anos ou mais,value,{Number},name,"""{Name1} 60 years or older""",alternateName,"""{AlternateName1} 60 anos ou mais@pt""",age,[60 - Years],observationDate,{YEAR}-{MONTH},,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,YEAR,2012,,,,,,,,,,,,,,,,,,,,,,,,
2013,YEAR,2013,,,,,,,,,,,,,,,,,,,,,,,,
2014,YEAR,2014,,,,,,,,,,,,,,,,,,,,,,,,
2015,YEAR,2015,,,,,,,,,,,,,,,,,,,,,,,,
2016,YEAR,2016,,,,,,,,,,,,,,,,,,,,,,,,
2017,YEAR,2017,,,,,,,,,,,,,,,,,,,,,,,,
2018,YEAR,2018,,,,,,,,,,,,,,,,,,,,,,,,
2019,YEAR,2019,,,,,,,,,,,,,,,,,,,,,,,,
2020,YEAR,2020,,,,,,,,,,,,,,,,,,,,,,,,
2021,YEAR,2021,,,,,,,,,,,,,,,,,,,,,,,,
2022,YEAR,2022,,,,,,,,,,,,,,,,,,,,,,,,
2023,YEAR,2023,,,,,,,,,,,,,,,,,,,,,,,,
2024,YEAR,2024,,,,,,,,,,,,,,,,,,,,,,,,
1º trimestre,MONTH,03,,,,,,,,,,,,,,,,,,,,,,,,
2º trimestre,MONTH,06,,,,,,,,,,,,,,,,,,,,,,,,
3º trimestre,MONTH,09,,,,,,,,,,,,,,,,,,,,,,,,
4º trimestre,MONTH,12,,,,,,,,,,,,,,,,,,,,,,,,
