observationDate,observationPeriod,measurementMethod,observationAbout,value,agg_by,variableMeasured
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology,dcs:Count_MedicalConditionIncident_NorovirusGenogroupII_PatientDeceased_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology,dcs:Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology,dcs:Count_MedicalConditionIncident_Norovirus_PatientDeceased_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology,dcs:Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology,dcs:Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology,dcs:Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology,dcs:Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,19,Etiology Status,dcs:Count_MedicalConditionIncident_Norovirus_ConfirmedCase_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,7,Etiology Status,dcs:Count_MedicalConditionIncident_Norovirus_SuspectedCase_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,21,Etiology Status,dcs:Count_MedicalConditionIncident_NorovirusGenogroupII_ConfirmedCase_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,24,Etiology Status,dcs:Count_MedicalConditionIncident_NorovirusUnknown_ConfirmedCase_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,50,Etiology Status,dcs:Count_MedicalConditionIncident_Norovirus_SuspectedCase_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,19,Etiology Status,dcs:Count_MedicalConditionIncident_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,7,Etiology Status,dcs:Count_MedicalConditionIncident_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,21,Etiology Status,dcs:Count_MedicalConditionIncident_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,24,Etiology Status,dcs:Count_MedicalConditionIncident_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,50,Etiology Status,dcs:Count_MedicalConditionIncident_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology Status,dcs:Count_MedicalConditionIncident_Norovirus_PatientHospitalized_ConfirmedCase_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology Status,dcs:Count_MedicalConditionIncident_Norovirus_PatientHospitalized_SuspectedCase_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology Status,dcs:Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology Status,dcs:Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology Status,dcs:Count_MedicalConditionIncident_Norovirus_PatientHospitalized_SuspectedCase_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology Status,dcs:Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology Status,dcs:Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology Status,dcs:Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology Status,dcs:Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology Status,dcs:Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology Status,dcs:Count_MedicalConditionIncident_Norovirus_PatientDeceased_ConfirmedCase_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology Status,dcs:Count_MedicalConditionIncident_Norovirus_PatientDeceased_SuspectedCase_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology Status,dcs:Count_MedicalConditionIncident_NorovirusGenogroupII_PatientDeceased_ConfirmedCase_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology Status,dcs:Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_ConfirmedCase_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology Status,dcs:Count_MedicalConditionIncident_Norovirus_PatientDeceased_SuspectedCase_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology Status,dcs:Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology Status,dcs:Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology Status,dcs:Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology Status,dcs:Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology Status,dcs:Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission
