key,prop,val,,,,,,,,,,,,
Year,measuredProperty,count,populationType,Student,collegeOrGraduateSchoolEnrollment,EnrolledInCollegeOrGraduateSchool,institutionType,PostSecondaryInstitution,enrollmentStatus,FullTimeEquivalent,observationAbout,country/USA,observationPeriod,1Y
City: Small,value,{Number},sdg_urbanization,CitySmall,,,,,,,,,,
Suburb: Large,value,{Number},sdg_urbanization,SuburbLarge,,,,,,,,,,
Suburb: Midsize,value,{Number},sdg_urbanization,SuburbMidsize,,,,,,,,,,
Suburb: Small,value,{Number},sdg_urbanization,SuburbSmall,,,,,,,,,,
Town: Fringe,value,{Number},sdg_urbanization,TownFringe,,,,,,,,,,
Town: Distant,value,{Number},sdg_urbanization,TownDistant,,,,,,,,,,
Town: Remote,value,{Number},sdg_urbanization,TownRemote,,,,,,,,,,
,,,,,,,,,,,,,,
Degree-granting,value,{Number},institutionType,DegreeGrantingPostSecondaryInstitution,,,,,,,,,,
"Non-degree-granting, primarily postsecondary",value,{Number},institutionType,NonDegreeGrantingPostSecondaryInstitution,,,,,,,,,,
,,,,,,,,,,,,,,
US Service schools,value,{Number},,,,,,,,,,,,
"New England (CT, ME, MA, NH, RI, VT)",value,{Number},,,,,,,,,,,,
"Mid East (DE, DC, MD, NJ, NY, PA)",value,{Number},,,,,,,,,,,,
"Great Lakes (IL, IN, MI, OH, WI)",value,{Number},,,,,,,,,,,,
"Plains (IA, KS, MN, MO, NE, ND, SD)",value,{Number},,,,,,,,,,,,
"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",value,{Number},,,,,,,,,,,,
"Southwest (AZ, NM, OK, TX)",value,{Number},,,,,,,,,,,,
"Rocky Mountains (CO, ID, MT, UT, WY)",value,{Number},,,,,,,,,,,,
"Far West (AK, CA, HI, NV, OR, WA)",value,{Number},,,,,,,,,,,,
"Outlying areas (AS, FM, GU, MH, MP, PR, PW, VI)",value,{Number},,,,,,,,,,,,
,,,,,,,,,,,,,,
Non-degree granting,value,{Number},institutionType,NonDegreeGrantingPostSecondaryInstitution,,,,,,,,,,
Doctor's degree - research/scholarship and professional practice,value,{Number},educationalAttainment,DoctorateDegree,doctorateDegreeMajor,ResearchScholarshipAndProfessionalPractice,,,,,,,,
Doctor's degree - research/scholarship,value,{Number},educationalAttainment,DoctorateDegree,doctorateDegreeMajor,ResearchScholarship,,,,,,,,
Doctor's degree -  professional practice,value,{Number},educationalAttainment,DoctorateDegree,doctorateDegreeMajor,ProfessionalPractice,,,,,,,,
Doctor's degree - other,value,{Number},educationalAttainment,DoctorateDegree,doctorateDegreeMajor,Other,,,,,,,,
Master's degree,value,{Number},educationalAttainment,MastersDegree,,,,,,,,,,
Bachelor's degree,value,{Number},educationalAttainment,BachelorsDegree,,,,,,,,,,
Associate's degree,value,{Number},educationalAttainment,AssociatesDegree,,,,,,,,,,
,,,,,,,,,,,,,,
"Degree-granting, graduate with no undergraduate degrees",value,{Number},institutionType,DegreeGrantingPostSecondaryInstitution,enrollmentLevel,GraduateWithNoUndergraduateDegrees,,,,,,,,
"Degree-granting, primarily baccalaureate or above",value,{Number},institutionType,DegreeGrantingPostSecondaryInstitution,courseSpecialization,BaccalaureateOrAbove,,,,,,,,
"Degree-granting, not primarily baccalaureate or above",value,{Number},institutionType,DegreeGrantingPostSecondaryInstitution,,,,,,,,,,
"Degree-granting, associate's and certificates",value,{Number},institutionType,DegreeGrantingPostSecondaryInstitution,,,,,,,,,,
"Nondegree-granting, above the baccalaureate",value,{Number},institutionType,NonDegreeGrantingPostSecondaryInstitution,,,,,,,,,,
"Nondegree-granting, sub-baccalaureate",value,{Number},institutionType,NonDegreeGrantingPostSecondaryInstitution,,,,,,,,,,
,,,,,,,,,,,,,,
Four or more years,value,{Number},collegeOrUniversityLevel,FourOrMoreYears,,,,,,,,,,
At least 2 but less than 4 years,value,{Number},collegeOrUniversityLevel,TwoOrLessThanFourYears,,,,,,,,,,
Less than 2 years (below associate),value,{Number},collegeOrUniversityLevel,LessThanTwoYears,,,,,,,,,,
