National Center for Education Statistics,,,,,,,,,
"Table 13. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2021",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
Student services,,"16,136,301",4.6,,"5,834,261",10.7,,"72,798",8.3
Institutional support,,"29,600,098",8.4,,"9,000,674",16.5,,"155,927",17.9
Scholarships and fellowships (excluding discounts     and allowances),,"16,651,027",4.7,,"5,882,545",10.8,,"42,768",4.9
Auxiliary enterprises,,"27,176,132",7.7,,"1,537,916",2.8,,—,—
Hospital services,,"58,542,522",16.6,,—,—,,—,—
Independent operations,,"1,960,327",0.6,,—,—,,—,—
Other expenses and deductions,,"25,185,922",7.2,,"6,869,967",12.6,,"89,977",10.3
,,,,,,,,,
,,Private nonprofit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$407,992,745",100.0,,"$978,031",100.0,,"$124,906",100.0
,,,,,,,,,
Tuition and fees,,"76,994,276",18.9,,"682,306",69.8,,"73,213",58.6
Government appropriations,,"1,264,531",0.3,,"20,717",2.1,,"1,563",1.3
Federal,,"599,183",0.1,,"20,003",2.0,,"1,563",1.3
State,,"658,884",0.2,,650,0.1,,0,0
Local,,"6,464",#,,64,#,,0,0
Government grants and contracts,,"28,600,765",7.0,,"98,181",10.0,,"30,556",24.5
Federal ,,"26,838,995",6.6,,"90,242",9.2,,"25,165",20.1
State ,,"1,203,723",0.3,,"6,982",0.7,,"4,352",3.5
Local ,,"558,046",0.1,,957,0.1,,"1,040",0.8
Private gifts,,"24,098,462",5.9,,"39,725",4.1,,"5,670",4.5
Private grants and contracts,,"7,272,493",1.8,,"4,620",0.5,,"6,236",5.0
Contributions from affiliated entities,,"2,748,821",0.7,,"19,800",2.0,,329,0.3
Investment return,,"186,199,355",45.6,,"61,824",6.3,,"1,531",1.2
Sales and services of educational activities,,"9,232,979",2.3,,"5,053",0.5,,"2,010",1.6
Sales and services of auxiliary enterprises,,"11,977,579",2.9,,"13,570",1.4,,—,—
Hospital revenue,,"36,954,464",9.1,,—,—,,—,—
Independent operations revenue,,"7,072,026",1.7,,—,—,,—,—
Other revenue,,"15,576,995",3.8,,"32,235",3.3,,"3,798",3.0
,,,,,,,,,
Total expenses,,"$222,119,132",100.0,,"$853,884",100.0,,"$120,639",100.0
,,,,,,,,,
Instruction,,"64,429,351",29.0,,"260,337",30.5,,"63,875",52.9
Research ,,"24,037,915",10.8,,614,0.1,,69,0.1
Public service,,"3,209,943",1.4,,"1,016",0.1,,393,0.3
Academic support,,"19,235,832",8.7,,"95,820",11.2,,"7,967",6.6
Student services,,"17,920,583",8.1,,"234,968",27.5,,"10,759",8.9
Institutional support,,"28,427,564",12.8,,"187,449",22.0,,"22,701",18.8
Net grant aid to students,,"1,191,005",0.5,,"5,665",0.7,,447,0.4
Auxiliary enterprises,,"15,777,384",7.1,,"17,322",2.0,,—,—
Hospital services,,"34,775,355",15.7,,—,—,,—,—
Independent operations,,"6,839,700",3.1,,—,—,,—,—
Other expenses,,"6,274,499",2.8,,"50,692",5.9,,"14,428",12.0
,,,,,,,,,
,,Private for-profit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$11,754,574",100.0,,"$3,336,658",100.0,,"$2,745,655",100.0
,,,,,,,,,
Tuition and fees,,"11,045,602",94.0,,"2,993,838",89.7,,"2,439,101",88.8
Government appropriations,,"8,593",0.1,,"10,710",0.3,,"15,319",0.6
Federal ,,"6,519",0.1,,"10,379",0.3,,"15,161",0.6
State,,"1,487",#,,331,#,,90,#
Local ,,586,#,,0,0,,68,#
Government grants and contracts,,"131,637",1.1,,"177,342",5.3,,"80,959",2.9
Federal (excludes FDSL loans)2 ,,"126,106",1.1,,"167,930",5.0,,"76,533",2.8
State,,"5,302",#,,"6,251",0.2,,"2,538",0.1
Local ,,230,#,,"3,160",0.1,,"1,888",0.1
"Private gifts, grants and contracts",,"15,379",0.1,,"1,845",0.1,,506,#
Investment income and investment gains (losses) ,,"42,286",0.4,,"6,066",0.2,,"12,886",0.5
Sales and services of educational activities,,"185,498",1.6,,"45,929",1.4,,"111,037",4.0
Sales and services of auxiliary enterprises,,"103,719",0.9,,"5,432",0.2,,—,—
Hospital revenue,,0,0,,—,—,,—,—
Other revenue,,"221,861",1.9,,"95,496",2.9,,"85,848",3.1
,,,,,,,,,
Total expenses,,"$10,321,763",100.0,,"$2,941,868",100.0,,"$2,240,446",100.0
,,,,,,,,,
Instruction,,"2,713,928",26.3,,"1,004,176",34.1,,"903,567",40.3
Research,,"8,664",0.1,,541,#,,"2,902",0.1
Public service,,"15,895",0.2,,"1,512",0.1,,"1,986",0.1
Academic support,,"1,133,385",11.0,,"226,998",7.7,,"175,311",7.8
Student services,,"2,234,506",21.6,,"542,812",18.5,,"299,074",13.3
Institutional support,,"3,513,386",34.0,,"888,011",30.2,,"571,444",25.5
Net grant aid to students,,"12,280",0.1,,"1,645",0.1,,"4,056",0.2
Auxiliary enterprises,,"167,929",1.6,,"26,831",0.9,,—,—
Hospital services,,0,0,,—,—,,—,—
Other expenses,,"521,790",5.1,,"249,342",8.5,,"282,105",12.6
— Not available. Data not collected from these institutions.,,,,,,,,,
# Rounds to zero.,,,,,,,,,
"1 In addition to the public institutions using Governmental Accounting Standards Board (GASB) standards, 18 public institutions (0.9 percent of public institutions) not displayed in this table reported $19.3 billion in revenue investment return and $14.2 billion in expenses using Financial Accounting Standards Board (FASB) standards.",,,,,,,,,
2 FDSL is the Federal Direct Student Loan program.,,,,,,,,,
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The U.S. Naval Academy, the U.S. Military Academy, the U.S. Coast Guard Academy, and the U.S. Air Force Academy are not Title IV eligible but are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public; they are included in this table. The U.S. Merchant Marine Academy is Title IV eligible and is also included in this table. Percentages in the columns of this table use the corresponding dollar amount in the appropriate total row of each section as the denominator. Due to differences between GASB standards and FASB standards, figures from public institutions are not comparable with figures from private institutions, even in categories with identical labels. Detail may not sum to totals because of rounding. Definitions for terms used in this table may be found in the collection year's archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2021.",,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Spring 2022, Finance component (final data).",,,,,,,,,
