National Center for Education Statistics,,,,,,,,,
"Table 13. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2017",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
Academic support,,"25,465,050",8.3,,"4,757,427",8.7,,"67,976",9.6
Student services,,"14,722,471",4.8,,"6,020,279",11.0,,"63,265",8.9
Institutional support,,"25,880,504",8.5,,"9,375,681",17.1,,"131,269",18.5
"Scholarships and fellowships (excluding discounts 
     and allowances)",,"10,611,506",3.5,,"4,785,809",8.7,,"22,319",3.1
Auxiliary enterprises,,"30,197,254",9.9,,"2,173,368",4.0,,—,—
Hospital services,,"45,172,187",14.8,,—,—,,—,—
Independent operations,,"1,681,320",0.6,,—,—,,—,—
Other expenses and deductions,,"15,324,708",5.0,,"3,954,536",7.2,,"54,382",7.7
,,,,,,,,,
,,Private nonprofit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$241,782,369",100.0,,"$943,639",100.0,,"$161,672",100.0
,,,,,,,,,
Tuition and fees,,"73,310,513",30.3,,"731,157",77.5,,"110,648",68.4
Government appropriations,,"1,054,857",0.4,,"16,248",1.7,,53,#
Federal,,"439,641",0.2,,"14,231",1.5,,2,#
State,,"613,726",0.3,,"2,001",0.2,,52,#
Local,,"1,490",#,,16,#,,0,0
Government grants and contracts,,"20,182,016",8.3,,"39,625",4.2,,"28,103",17.4
Federal ,,"18,699,721",7.7,,"33,164",3.5,,"21,381",13.2
State ,,"960,980",0.4,,"5,976",0.6,,"5,532",3.4
Local ,,"521,314",0.2,,485,0.1,,"1,190",0.7
Private gifts,,"20,313,441",8.4,,"31,546",3.3,,"2,034",1.3
Private grants and contracts,,"6,196,477",2.6,,"2,597",0.3,,"3,371",2.1
Contributions from affiliated entities,,"2,318,044",1.0,,"23,394",2.5,,"2,717",1.7
Investment return,,"48,826,949",20.2,,"15,451",1.6,,841,0.5
Sales and services of educational activities,,"7,511,717",3.1,,"10,073",1.1,,"4,001",2.5
Sales and services of auxiliary enterprises,,"17,964,144",7.4,,"40,241",4.3,,—,—
Hospital revenue,,"26,744,919",11.1,,—,—,,—,—
Independent operations revenue,,"6,066,967",2.5,,—,—,,—,—
Other revenue,,"11,292,325",4.7,,"33,307",3.5,,"9,903",6.1
,,,,,,,,,
Total expenses,,"$196,318,744",100.0,,"$985,989",100.0,,"$186,457",100.0
,,,,,,,,,
Instruction,,"61,912,427",31.5,,"316,683",32.1,,"79,404",42.6
Research ,,"21,058,634",10.7,,"1,160",0.1,,0,0
Public service,,"2,889,051",1.5,,"1,406",0.1,,331,0.2
Academic support,,"16,157,986",8.2,,"113,966",11.6,,"20,214",10.8
Student services,,"16,652,484",8.5,,"225,421",22.9,,"14,144",7.6
Institutional support,,"25,331,865",12.9,,"219,323",22.2,,"38,862",20.8
Net grant aid to students,,"941,614",0.5,,"1,180",0.1,,800,0.4
Auxiliary enterprises,,"17,187,656",8.8,,"37,219",3.8,,—,—
Hospital services,,"24,090,294",12.3,,—,—,,—,—
Independent operations,,"5,810,625",3.0,,—,—,,—,—
Other expenses,,"4,286,108",2.2,,"69,630",7.1,,"32,704",17.5
,,,,,,,,,
,,Private for-profit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$12,733,999",100.0,,"$3,872,733",100.0,,"$2,839,886",100.0
,,,,,,,,,
Tuition and fees,,"11,692,675",91.8,,"3,470,952",89.6,,"2,477,433",87.2
Government appropriations,,"36,561",0.3,,"16,114",0.4,,"15,879",0.6
Federal ,,"32,118",0.3,,"14,277",0.4,,"15,515",0.5
State,,"3,986",#,,"1,529",#,,243,#
Local ,,457,#,,309,#,,121,#
Government grants and contracts,,"359,452",2.8,,"169,108",4.4,,"30,534",1.1
Federal (excludes FDSL loans),,"336,023",2.6,,"156,881",4.1,,"26,391",0.9
State,,"23,268",0.2,,"10,104",0.3,,"1,532",0.1
Local ,,161,#,,"2,123",0.1,,"2,611",0.1
"Private gifts, grants and contracts",,"11,586",0.1,,"1,813",#,,522,#
Investment income and investment gains (losses) ,,"34,559",0.3,,"8,294",0.2,,"9,776",0.3
Sales and services of educational activities,,"180,112",1.4,,"73,755",1.9,,"191,226",6.7
Sales and services of auxiliary enterprises,,"210,935",1.7,,"36,266",0.9,,—,—
Hospital revenue,,0,0,,—,—,,—,—
Other revenue,,"208,120",1.6,,"96,431",2.5,,"114,517",4.0
,,,,,,,,,
Total expenses,,"$11,680,961",100.0,,"$3,786,541",100.0,,"$2,513,669",100.0
,,,,,,,,,
Instruction,,"2,995,663",25.6,,"1,178,504",31.1,,"989,942",39.4
Research,,"4,702",#,,635,#,,"1,959",0.1
Public service,,"10,388",0.1,,"2,705",0.1,,"2,399",0.1
Academic support,,"1,323,324",11.3,,"337,339",8.9,,"216,963",8.6
Student services,,"2,336,857",20.0,,"633,516",16.7,,"311,247",12.4
Institutional support,,"3,932,046",33.7,,"1,036,219",27.4,,"674,593",26.8
Net grant aid to students,,"24,039",0.2,,"3,606",0.1,,"5,117",0.2
Auxiliary enterprises,,"261,821",2.2,,"57,076",1.5,,—,—
Hospital services,,0,0,,—,—,,—,—
Other expenses,,"792,122",6.8,,"536,941",14.2,,"311,450",12.4
— Not available. Data not collected from these institutions. ,,,,,,,,,
# Rounds to zero.,,,,,,,,,
"1In addition to the public institutions using Governmental Accounting Standards Board (GASB) standards, 17 public institutions (0.9 percent of public institutions) not displayed in this table reported $13.7 billion in revenue and investment return and $12.2 billion in expenses using Financial Accounting Standards Board (FASB) standards.",,,,,,,,,
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. Percentages in the columns of this table use the corresponding dollar amount in the appropriate total row of each section as the denominator. Due to differences between Governmental Accounting Standards Board (GASB) standards and Financial Accounting Standards Board (FASB) standards, figures from public institutions are not comparable with figures from private institutions, even in categories with identical labels. FDSL is the Federal Direct Student Loan program. Detail may not sum to totals because of rounding. Definitions for terms used in this table may be found in the collection year’s archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2017.",,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Spring 2018, Finance component (final data).",,,,,,,,,
