National Center for Education Statistics,,,,,,,,,
"Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2016",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
Student services,,"13,976,300",4.8,,"5,875,337",10.9,,"60,156",8.6
Institutional support,,"24,841,509",8.6,,"8,947,953",16.5,,"127,426",18.2
"Scholarships and fellowships (excluding discounts 
     and allowances)",,"10,384,731",3.6,,"5,162,939",9.5,,"20,103",2.9
Auxiliary enterprises,,"28,387,481",9.8,,"2,233,617",4.1,,—,—
Hospital services,,"41,431,492",14.3,,0,0,,—,—
Independent operations,,"1,658,039",0.6,,0,0,,—,—
Other expenses and deductions,,"13,734,925",4.7,,"3,697,088",6.8,,"67,948",9.7
,,,,,,,,,
,,Private nonprofit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$181,736,982",100.0,,"$958,983",100.0,,"$170,499",100.0
,,,,,,,,,
Tuition and fees,,"71,428,021",39.3,,"744,650",77.6,,"118,062",69.2
Government appropriations,,"1,082,690",0.6,,"14,314",1.5,,599,0.4
Federal,,"467,786",0.3,,"11,595",1.2,,481,0.3
State,,"613,273",0.3,,"2,106",0.2,,119,0.1
Local,,"1,630",#,,613,0.1,,0,0
Government grants and contracts,,"17,837,545",9.8,,"48,558",5.1,,"28,691",16.8
Federal ,,"16,296,791",9,,"41,659",4.3,,"24,118",14.1
State ,,"1,014,234",0.6,,"6,392",0.7,,"3,839",2.3
Local ,,"526,520",0.3,,507,0.1,,733,0.4
Private gifts,,"20,959,929",11.5,,"28,733",3.0,,"2,191",1.3
Private grants and contracts,,"5,817,264",3.2,,"3,828",0.4,,"5,801",3.4
Contributions from affiliated entities,,"1,808,478",1,,"28,134",2.9,,"1,016",0.6
Investment return,,"-2,736,397",-1.5,,"1,327",0.1,,441,0.3
Sales and services of educational activities,,"7,037,658",3.9,,"8,749",0.9,,"3,930",2.3
Sales and services of auxiliary enterprises,,"17,562,236",9.7,,"46,058",4.8,,—,—
Hospital revenue,,"24,107,516",13.3,,0,0,,—,—
Independent operations revenue,,"6,663,440",3.7,,0,0,,—,—
Other revenue3 ,,"10,168,604",5.6,,"34,632",3.6,,"9,769",5.7
,,,,,,,,,
Total expenses,,"$187,836,845",100.0,,"$987,756",100.0,,"$188,390",100.0
,,,,,,,,,
Instruction,,"59,968,097",31.9,,"333,226",33.7,,"81,270",43.1
Research ,,"18,386,002",9.8,,967,0.1,,0,0
Public service,,"2,728,006",1.5,,"2,336",0.2,,370,0.2
Academic support,,"15,907,521",8.5,,"114,215",11.6,,"25,383",13.5
Student services,,"15,846,763",8.4,,"223,458",22.6,,"16,893",9
Institutional support,,"24,655,869",13.1,,"204,158",20.7,,"33,783",17.9
Net grant aid to students,,"910,710",0.5,,"3,591",0.4,,236,0.1
Auxiliary enterprises,,"16,684,252",8.9,,"39,660",4,,—,—
Hospital services,,"21,267,887",11.3,,0,0,,—,—
Independent operations,,"6,192,792",3.3,,0,0,,—,—
Other expenses,,"5,288,945",2.8,,"66,145",6.7,,"30,454",16.2
,,,,,,,,,
,,Private for-profit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$13,575,294",100.0,,"$4,300,477",100.0,,"$2,928,356",100.0
,,,,,,,,,
Tuition and fees,,"12,376,301",91.2,,"3,849,328",89.5,,"2,527,757",86.3
Government appropriations,,"8,635",0.1,,"41,169",1,,"17,482",0.6
Federal ,,"5,571",#,,"41,029",1,,"17,017",0.6
State,,"2,396",#,,33,#,,308,#
Local ,,668,#,,107,#,,157,#
Government grants and contracts,,"542,861",4.0,,"179,628",4.2,,"63,807",2.2
Federal (excludes FDSL loans),,"513,828",3.8,,"164,706",3.8,,"60,119",2.1
State,,"28,843",0.2,,"13,820",0.3,,"1,644",0.1
Local ,,190,#,,"1,102",#,,"2,044",0.1
"Private gifts, grants and contracts",,"13,708",0.1,,"1,521",#,,"2,136",0.1
Investment income and investment gains (losses) ,,"21,959",0.2,,"6,886",0.2,,"7,606",0.3
Sales and services of educational activities,,"151,174",1.1,,"83,240",1.9,,"195,109",6.7
Sales and services of auxiliary enterprises,,"255,030",1.9,,"57,136",1.3,,—,—
Hospital revenue,,127,#,,0,0,,—,—
Other revenue3 ,,"205,500",1.5,,"81,569",1.9,,"114,459",3.9
,,,,,,,,,
Total expenses,,"$12,564,815",100.0,,"$4,236,507",100.0,,"$2,626,161",100.0
,,,,,,,,,
Instruction,,"3,199,028",25.5,,"1,299,380",30.7,,"1,018,183",38.8
Research,,"3,557",#,,682,#,,"1,832",0.1
Public service,,"11,932",0.1,,"2,160",0.1,,"3,003",0.1
Academic support,,"1,391,917",11.1,,"411,834",9.7,,"223,981",8.5
Student services,,"2,526,613",20.1,,"718,496",17,,"317,536",12.1
Institutional support,,"4,280,889",34.1,,"1,186,560",28,,"712,048",27.1
Net grant aid to students,,"22,834",0.2,,"3,728",0.1,,"7,158",0.3
Auxiliary enterprises,,"323,247",2.6,,"75,863",1.8,,—,—
Hospital services,,63,#,,0,0,,—,—
Other expenses,,"804,733",6.4,,"537,803",12.7,,"342,419",13.0
— Not available. Non-degree-granting institutions and administrative offices do not separately report these categories.,,,,,,,,,
# Rounds to zero.,,,,,,,,,
"1In addition to the public institutions using Governmental Accounting Standards Board (GASB) standards, 17 public institutions (0.9 percent of public institutions) not displayed in this table reported $11.8 billion in revenue and investment return and $11.7 billion in expenses using Financial Accounting Standards Board (FASB) standards.",,,,,,,,,
"2Non-degree-granting institutions report the total other revenues and additions, but not the details. As a result, the details will not sum to the total.",,,,,,,,,
3Other revenue is a calculated value and may be negative if the total revenue and investment return reported is less than the sum of the reported data in the detail revenues and investment return categories.,,,,,,,,,
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public. Percentages in the columns of this table use the corresponding dollar amount in the appropriate total row of each section as the denominator. Due to differences between GASB standards and FASB standards, figures from public institutions are not comparable with figures from private institutions, even in categories with identical labels. Detail may not sum to totals because of rounding. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/VisGlossaryAll.aspx. ",,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Spring 2017, Finance component (final data).",,,,,,,,,
