National Center for Education Statistics,,,,,,,,,
"Table 12. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2020",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
Student services,,"16,205,375",4.6,,"5,932,399",10.9,,"64,107",8.0
Institutional support,,"28,482,776",8.1,,"8,534,180",15.7,,"139,027",17.3
Scholarships and fellowships (excluding discounts     and allowances),,"14,422,117",4.1,,"5,340,248",9.9,,"29,579",3.7
Auxiliary enterprises,,"30,242,899",8.6,,"1,793,541",3.3,,—,—
Hospital services,,"54,766,043",15.6,,—,—,,—,—
Independent operations,,"1,762,823",0.5,,—,—,,—,—
Other expenses and deductions,,"31,007,715",8.8,,"6,156,988",11.4,,"86,310",10.8
,,,,,,,,,
,,Private nonprofit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$236,169,884",100.0,,"$938,704",100.0,,"$110,359",100.0
,,,,,,,,,
Tuition and fees,,"79,158,906",33.5,,"683,582",72.8,,"71,708",65.0
Government appropriations,,"1,171,127",0.5,,"15,257",1.6,,0,0
Federal,,"505,262",0.2,,"14,709",1.6,,0,0
State,,"661,106",0.3,,526,0.1,,0,0
Local,,"4,759",#,,23,#,,0,0
Government grants and contracts,,"24,122,674",10.2,,"41,210",4.4,,"24,618",22.3
Federal ,,"22,407,951",9.5,,"32,712",3.5,,"17,871",16.2
State ,,"1,121,620",0.5,,"7,356",0.8,,"6,043",5.5
Local ,,"593,103",0.3,,"1,141",0.1,,704,0.6
Private gifts,,"21,503,025",9.1,,"65,820",7.0,,"3,214",2.9
Private grants and contracts,,"7,175,621",3.0,,"3,276",0.3,,"3,077",2.8
Contributions from affiliated entities,,"2,517,947",1.1,,"38,010",4.0,,"1,236",1.1
Investment return,,"23,750,169",10.1,,"22,383",2.4,,"1,439",1.3
Sales and services of educational activities,,"8,588,410",3.6,,"4,448",0.5,,"2,359",2.1
Sales and services of auxiliary enterprises,,"15,345,515",6.5,,"28,355",3.0,,—,—
Hospital revenue,,"32,776,326",13.9,,—,—,,—,—
Independent operations revenue,,"6,984,892",3.0,,—,—,,—,—
Other revenue,,"13,075,271",5.5,,"36,363",3.9,,"2,709",2.5
,,,,,,,,,
Total expenses,,"$222,216,931",100.0,,"$892,133",100.0,,"$117,556",100.0
,,,,,,,,,
Instruction,,"67,025,940",30.2,,"282,625",31.7,,"66,179",56.3
Research ,,"23,190,145",10.4,,724,0.1,,13,#
Public service,,"3,185,071",1.4,,"1,242",0.1,,213,0.2
Academic support,,"19,391,174",8.7,,"99,034",11.1,,"9,032",7.7
Student services,,"18,351,551",8.3,,"229,308",25.7,,"10,359",8.8
Institutional support,,"27,703,944",12.5,,"193,879",21.7,,"19,045",16.2
Net grant aid to students,,"1,060,498",0.5,,"2,960",0.3,,160,0.1
Auxiliary enterprises,,"16,564,112",7.5,,"24,778",2.8,,—,—
Hospital services,,"32,660,569",14.7,,—,—,,—,—
Independent operations,,"6,943,890",3.1,,—,—,,—,—
Other expenses,,"6,140,035",2.8,,"57,583",6.5,,"12,555",10.7
,,,,,,,,,
,,Private for-profit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$11,472,182",100.0,,"$3,183,268",100.0,,"$2,853,819",100.0
,,,,,,,,,
Tuition and fees,,"10,778,915",94.0,,"2,832,949",89.0,,"2,541,568",89.1
Government appropriations,,"8,258",0.1,,"12,441",0.4,,"12,798",0.4
Federal ,,"4,849",#,,"10,955",0.3,,"12,521",0.4
State,,"3,409",#,,"1,416",#,,149,#
Local ,,0,0,,70,#,,128,#
Government grants and contracts,,"115,476",1.0,,"165,404",5.2,,"28,753",1
Federal (excludes FDSL loans)2 ,,"109,380",1.0,,"154,956",4.9,,"24,987",0.9
State,,"5,768",0.1,,"6,671",0.2,,"1,658",0.1
Local ,,328,#,,"3,777",0.1,,"2,109",0.1
"Private gifts, grants and contracts",,"16,420",0.1,,"1,616",0.1,,"1,512",0.1
Investment income and investment gains (losses) ,,"73,209",0.6,,"7,281",0.2,,"10,216",0.4
Sales and services of educational activities,,"181,883",1.6,,"52,504",1.6,,"173,071",6.1
Sales and services of auxiliary enterprises,,"118,218",1.0,,"4,191",0.1,,—,—
Hospital revenue,,0,0,,—,—,,—,—
Other revenue,,"179,803",1.6,,"106,882",3.4,,"85,900",3.0
,,,,,,,,,
Total expenses,,"$10,162,158",100.0,,"$2,958,438",100.0,,"$2,440,729",100.0
,,,,,,,,,
Instruction,,"2,689,084",26.5,,"1,022,545",34.6,,"991,335",40.6
Research,,"7,815",0.1,,536,#,,"1,756",0.1
Public service,,"16,760",0.2,,"2,051",0.1,,"2,295",0.1
Academic support,,"1,176,019",11.6,,"220,885",7.5,,"193,724",7.9
Student services,,"2,298,255",22.6,,"479,396",16.2,,"310,689",12.7
Institutional support,,"3,377,709",33.2,,"861,899",29.1,,"617,477",25.3
Net grant aid to students,,"16,604",0.2,,788,#,,"3,103",0.1
Auxiliary enterprises,,"173,669",1.7,,"33,461",1.1,,—,—
Hospital services,,0,0,,—,—,,—,—
Other expenses,,"406,244",4.0,,"336,877",11.4,,"320,349",13.1
— Not available. Data not collected from these institutions.,,,,,,,,,
# Rounds to zero.,,,,,,,,,
"1 In addition to the public institutions using Governmental Accounting Standards Board (GASB) standards, 18 public institutions (0.9 percent of public institutions) not displayed in this table reported $14.5 billion in revenue investment return and $15.1 billion in expenses using Financial Accounting Standards Board (FASB) standards.",,,,,,,,,
2 FDSL is the Federal Direct Student Loan program.,,,,,,,,,
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. Percentages in the columns of this table use the corresponding dollar amount in the appropriate total row of each section as the denominator. Due to differences between GASB standards and FASB standards, figures from public institutions are not comparable with figures from private institutions, even in categories with identical labels. Detail may not sum to totals because of rounding. Definitions for terms used in this table may be found in the collection year’s archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2020.",,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Spring 2021, Finance component (final data).",,,,,,,,,
