National Center for Education Statistics,,,,,,,,,
"Table 12. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2018",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
Institutional support,,"25,660,303",8,,"8,766,888",16.1,,"132,085",18.5
Scholarships and fellowships (excluding discounts     and allowances),,"11,260,293",3.5,,"4,928,126",9.1,,"22,588",3.2
Auxiliary enterprises,,"30,844,126",9.6,,"2,105,938",3.9,,—,—
Hospital services,,"46,461,465",14.5,,—,—,,—,—
Independent operations,,"1,732,962",0.5,,—,—,,—,—
Other expenses and deductions,,"24,495,037",7.7,,"4,434,371",8.1,,"63,845",9
,,,,,,,,,
,,Private nonprofit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"247,603,153",100,,"925,631",100,,"118,739",100
,,,,,,,,,
Tuition and fees,,"75,229,175",30.4,,"715,410",77.3,,"82,719",69.7
Government appropriations,,"1,072,146",0.4,,"13,401",1.4,,106,0.1
Federal,,"454,540",0.2,,"12,606",1.4,,2,#
State,,"615,936",0.2,,780,0.1,,104,0.1
Local,,"1,670",#,,15,#,,0,0
Government grants and contracts,,"20,837,798",8.4,,"37,846",4.1,,"23,005",19.4
Federal ,,"19,277,695",7.8,,"30,360",3.3,,"17,984",15.1
State ,,"1,073,773",0.4,,"6,024",0.7,,"3,924",3.3
Local ,,"486,330",0.2,,"1,462",0.2,,"1,097",0.9
Private gifts,,"21,758,249",8.8,,"48,943",5.3,,"1,771",1.5
Private grants and contracts,,"6,552,843",2.6,,"2,295",0.2,,"2,683",2.3
Contributions from affiliated entities,,"2,285,915",0.9,,"23,481",2.5,,917,0.8
Investment return,,"45,435,616",18.4,,"17,434",1.9,,792,0.7
Sales and services of educational activities,,"7,980,776",3.2,,"10,165",1.1,,"3,478",2.9
Sales and services of auxiliary enterprises,,"18,290,231",7.4,,"36,438",3.9,,—,—
Hospital revenue,,"29,449,927",11.9,,—,—,,—,—
Independent operations revenue,,"6,673,081",2.7,,—,—,,—,—
Other revenue,,"12,037,397",4.9,,"20,217",2.2,,"3,268",2.8
,,,,,,,,,
Total expenses,,"205,952,017",100,,"905,087",100,,"128,000",100
,,,,,,,,,
Instruction,,"63,256,848",30.7,,"281,297",31.1,,"67,678",52.9
Research ,,"21,877,641",10.6,,745,0.1,,0,0
Public service,,"3,090,693",1.5,,"1,403",0.2,,356,0.3
Academic support,,"17,882,926",8.7,,"107,461",11.9,,"9,132",7.1
Student services,,"17,362,221",8.4,,"225,062",24.9,,"8,401",6.6
Institutional support,,"26,356,430",12.8,,"207,274",22.9,,"23,727",18.5
Net grant aid to students,,"985,297",0.5,,"1,565",0.2,,"1,610",1.3
Auxiliary enterprises,,"17,797,476",8.6,,"30,061",3.3,,—,—
Hospital services,,"26,496,768",12.9,,—,—,,—,—
Independent operations,,"6,294,807",3.1,,—,—,,—,—
Other expenses,,"4,550,909",2.2,,"50,219",5.5,,"17,095",13.4
,,,,,,,,,
,,Private for-profit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"10,779,287",100,,"3,135,508",100,,"2,847,296",100
,,,,,,,,,
Tuition and fees,,"10,190,630",94.5,,"2,782,474",88.7,,"2,500,131",87.8
Government appropriations,,"33,545",0.3,,"10,604",0.3,,"15,303",0.5
Federal ,,"30,209",0.3,,"9,081",0.3,,"15,051",0.5
State,,"3,336",#,,"1,219",#,,140,#
Local ,,0,0,,304,#,,113,#
Government grants and contracts,,"89,874",0.8,,"131,808",4.2,,"28,236",1
Federal (excludes FDSL loans)2 ,,"81,092",0.8,,"122,779",3.9,,"25,271",0.9
State,,"8,337",0.1,,"7,049",0.2,,"1,404",#
Local ,,445,#,,"1,981",0.1,,"1,561",0.1
"Private gifts, grants and contracts",,"11,521",0.1,,"1,229",#,,658,#
Investment income and investment gains (losses) ,,"51,759",0.5,,"8,576",0.3,,"7,224",0.3
Sales and services of educational activities,,"138,034",1.3,,"62,265",2,,"187,011",6.6
Sales and services of auxiliary enterprises,,"121,056",1.1,,"26,540",0.8,,—,—
Hospital revenue,,0,0,,—,—,,—,—
Other revenue,,"142,867",1.3,,"112,012",3.6,,"108,731",3.8
,,,,,,,,,
Total expenses,,"9,748,366",100,,"3,075,017",100,,"2,526,642",100
,,,,,,,,,
Instruction,,"2,539,652",26.1,,"973,827",31.7,,"989,072",39.1
Research,,"5,350",0.1,,527,#,,"1,724",0.1
Public service,,"12,676",0.1,,"2,314",0.1,,"2,482",0.1
Academic support,,"1,180,365",12.1,,"290,889",9.5,,"211,805",8.4
Student services,,"2,006,187",20.6,,"499,491",16.2,,"309,081",12.2
Institutional support,,"3,232,071",33.2,,"842,996",27.4,,"675,909",26.8
Net grant aid to students,,"13,803",0.1,,"2,476",0.1,,"5,128",0.2
Auxiliary enterprises,,"175,954",1.8,,"56,238",1.8,,—,—
Hospital services,,—,—,,—,—,,—,—
Other expenses,,"582,308",6,,"406,257",13.2,,"331,441",13.1
— Not available. Data not collected from these institutions. ,,,,,,,,,
# Rounds to zero.,,,,,,,,,
"1 In addition to the public institutions using Governmental Accounting Standards Board (GASB) standards, 30 public institutions (1.5 percent of public institutions) not displayed in this table reported $14.7 billion in revenue and investment return and $13.2 billion in expenses using Financial Accounting Standards Board (FASB) standards.",,,,,,,,,
2 FDSL is the Federal Direct Student Loan program.,,,,,,,,,
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. Percentages in the columns of this table use the corresponding dollar amount in the appropriate total row of each section as the denominator. Due to differences between Governmental Accounting Standards Board (GASB) standards and Financial Accounting Standards Board (FASB) standards, figures from public institutions are not comparable with figures from private institutions, even in categories with identical labels. Detail may not sum to totals because of rounding. Definitions for terms used in this table may be found in the collection year’s archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2018. ",,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Spring 2019, Finance component (final data).",,,,,,,,,
