National Center for Education Statistics,,,,,,,,,
"Table 5. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, and source of funds and type of expense: United States, fiscal year 2023",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
Academic support,,"32,278,686",7.9,,"4,596,624",8.5,,"95,615",9.4
Student services,,"19,400,596",4.7,,"6,090,558",11.3,,"82,975",8.2
Institutional support,,"32,833,890",8.0,,"9,117,652",16.9,,"180,278",17.8
Scholarships and fellowships (excluding discounts     and allowances),,"14,393,701",3.5,,"5,199,425",9.6,,"38,792",3.8
Auxiliary enterprises,,"35,769,567",8.8,,"1,611,620",3.0,,—,—
Hospital services,,"72,302,772",17.7,,—,—,,—,—
Independent operations,,"2,249,081",0.6,,—,—,,—,—
Other expenses and deductions,,"30,251,556",7.4,,"6,007,639",11.1,,"109,454",10.8
,,,,,,,,,
,,Private nonprofit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$273,793,418",100.0,,"$977,944",100.0,,"$115,251",100.0
,,,,,,,,,
Tuition and fees,,"82,442,733",30.1,,"676,387",69.2,,"71,126",61.7
Government appropriations,,"1,349,059",0.5,,"5,662",0.6,,591,0.5
Federal,,"594,415",0.2,,"4,340",0.4,,591,0.5
State,,"753,213",0.3,,364,#,,0,0
Local,,"1,431",#,,958,0.1,,0,0
Government grants and contracts,,"28,945,632",10.6,,"43,943",4.5,,"25,726",22.3
Federal (excludes FDSL loans)2 ,,"26,828,351",9.8,,"35,632",3.6,,"20,594",17.9
State ,,"1,469,824",0.5,,"6,958",0.7,,"4,391",3.8
Local ,,"647,457",0.2,,"1,353",0.1,,741,0.6
Private gifts,,"26,814,402",9.8,,"63,600",6.5,,"2,961",2.6
Private grants and contracts,,"8,578,845",3.1,,"5,135",0.5,,"7,194",6.2
Contributions from affiliated entities,,"2,957,183",1.1,,"14,726",1.5,,739,0.6
Investment return,,"20,176,781",7.4,,"100,599",10.3,,-847,-0.7
Sales and services of educational activities,,"10,971,253",4.0,,"8,080",0.8,,"2,621",2.3
Sales and services of auxiliary enterprises,,"19,230,609",7.0,,"22,301",2.3,,—,—
Hospital revenue,,"42,875,664",15.7,,—,—,,—,—
Independent operations revenue,,"10,662,407",3.9,,—,—,,—,—
Other revenue,,"18,788,849",6.9,,"37,511",3.8,,"5,140",4.5
,,,,,,,,,
Total expenses,,"$263,586,427",100.0,,"$878,613",100.0,,"$126,855",100.0
,,,,,,,,,
Instruction,,"72,358,629",27.5,,"279,111",31.8,,"72,637",57.3
Research ,,"29,023,269",11.0,,475,0.1,,15,#
Public service,,"3,580,912",1.4,,"2,571",0.3,,17,#
Academic support,,"22,413,952",8.5,,"93,345",10.6,,"8,335",6.6
Student services,,"21,763,070",8.3,,"248,211",28.3,,"11,382",9.0
Institutional support,,"33,404,546",12.7,,"193,165",22.0,,"24,355",19.2
Net grant aid to students,,"1,223,066",0.5,,"2,536",0.3,,"1,231",1.0
Auxiliary enterprises,,"19,409,077",7.4,,"18,471",2.1,,—,—
Hospital services,,"43,504,124",16.5,,—,—,,—,—
Independent operations,,"10,052,541",3.8,,—,—,,—,—
Other expenses,,"6,853,241",2.6,,"40,727",4.6,,"8,885",7.0
,,,,,,,,,
,,Private for-profit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$11,782,072",100.0,,"$3,532,205",100.0,,"$3,031,892",100.0
,,,,,,,,,
Tuition and fees,,"10,965,400",93.1,,"3,222,635",91.2,,"2,721,589",89.8
Government appropriations,,"5,619",#,,"7,189",0.2,,"15,721",0.5
Federal ,,"4,993",#,,"7,189",0.2,,"15,661",0.5
State,,627,#,,0,0,,4,#
Local ,,0,0,,0,0,,56,#
Government grants and contracts,,"139,840",1.2,,"131,852",3.7,,"41,944",1.4
Federal (excludes FDSL loans)2 ,,"131,064",1.1,,"125,885",3.6,,"32,724",1.1
State,,"7,020",0.1,,"4,764",0.1,,"4,243",0.1
Local ,,"1,756",#,,"1,202",#,,"4,978",0.2
"Private gifts, grants and contracts",,"17,163",0.1,,974,#,,374,#
Investment income and investment gains (losses) ,,"55,226",0.5,,"12,967",0.4,,"6,734",0.2
Sales and services of educational activities,,"253,773",2.2,,"54,240",1.5,,"171,800",5.7
Sales and services of auxiliary enterprises,,"119,071",1.0,,"5,639",0.2,,—,—
Hospital revenue,,609,#,,—,—,,—,—
Other revenue,,"225,370",1.9,,"96,709",2.7,,"73,729",2.4
,,,,,,,,,
Total expenses,,"$10,636,484",100.0,,"$3,308,532",100.0,,"$2,440,545",100.0
,,,,,,,,,
Instruction,,"2,774,236",26.1,,"1,064,070",32.2,,"1,015,605",41.6
Research,,"8,053",0.1,,417,#,,"2,299",0.1
Public service,,"23,470",0.2,,681,#,,"1,941",0.1
Academic support,,"1,152,176",10.8,,"283,686",8.6,,"183,768",7.5
Student services,,"2,446,841",23.0,,"614,972",18.6,,"328,322",13.5
Institutional support,,"3,444,265",32.4,,"943,673",28.5,,"608,460",24.9
Net grant aid to students,,"13,083",0.1,,402,#,,"4,492",0.2
Auxiliary enterprises,,"199,563",1.9,,"36,714",1.1,,—,—
Hospital services,,0,0,,—,—,,—,—
Other expenses,,"574,797",5.4,,"363,916",11.0,,"295,658",12.1
— Not available. Data not collected from these institutions.,,,,,,,,,
# Rounds to zero.,,,,,,,,,
"1 In addition to the public institutions using Governmental Accounting Standards Board (GASB) standards, 18 public institutions (0.9 percent of public institutions) not displayed in this table reported $17.2 billion in revenue and investment return and $16.6 billion in expenses using Financial Accounting Standards Board (FASB) standards.",,,,,,,,,
2 FDSL is the Federal Direct Student Loan program.,,,,,,,,,
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The U.S. Naval Academy, the U.S. Military Academy, the U.S. Coast Guard Academy, and the U.S. Air Force Academy are not Title IV eligible but are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public; they are included in this table. The U.S. Merchant Marine Academy is Title IV eligible and also included in this table. Percentages in the columns of this table use the corresponding dollar amount in the appropriate total row of each section as the denominator. Due to differences between Governmental Accounting Standards Board (GASB) standards and Financial Accounting Standards Board (FASB) standards, figures from public institutions are not comparable with figures from private institutions, even in categories with identical labels. Detail may not sum to totals because of rounding. Definitions for terms used in IPEDS may be found in the online glossary located at https://surveys.nces.ed.gov/ipeds/public/glossary. The glossary is primarily focused on terms used in the current IPEDS collection and may not reflect the definitions in effect when the data in this table were collected.",,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Spring 2024, Finance component (provisional data).",,,,,,,,,
