National Center for Education Statistics,,,,,,,,,
"Table 05. Amount and percentage distribution of revenues and expenses of Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, and source of funds and type of expense: United States, fiscal year 2022",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds ,,4-year,,,2-year,,,Less-than-2-year,
Student services,,"17,867,653",4.7,,"6,059,540",10.8,,"75,639",8.2
Institutional support,,"31,496,322",8.2,,"9,280,534",16.6,,"156,972",17.1
Scholarships and fellowships (excluding discounts     and allowances),,"20,735,214",5.4,,"7,983,540",14.3,,"54,650",6
Auxiliary enterprises,,"31,945,515",8.3,,"1,561,697",2.8,,—,—
Hospital services,,"64,330,653",16.8,,—,—,,—,—
Independent operations,,"2,189,468",0.6,,—,—,,—,—
Other expenses and deductions,,"26,711,707",7.0,,"5,573,382",10.0,,"92,015",10.0
,,,,,,,,,
,,Private nonprofit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$219,421,031",100.0,,"$871,861",100.0,,"$126,798",100.0
,,,,,,,,,
Tuition and fees,,"80,868,587",36.9,,"667,456",76.6,,"80,008",63.1
Government appropriations,,"1,346,213",0.6,,"8,882",1.0,,534,0.4
Federal,,"617,352",0.3,,"8,232",0.9,,534,0.4
State,,"725,482",0.3,,542,0.1,,0,0
Local,,"3,378",#,,108,#,,0,0
Government grants and contracts,,"31,359,261",14.3,,"89,579",10.3,,"30,437",24.0
Federal ,,"29,550,275",13.5,,"79,303",9.1,,"25,503",20.1
State ,,"1,229,319",0.6,,"9,508",1.1,,"4,154",3.3
Local ,,"579,667",0.3,,767,0.1,,780,0.6
Private gifts,,"26,354,018",12.0,,"41,129",4.7,,"2,959",2.3
Private grants and contracts,,"8,262,077",3.8,,"4,390",0.5,,"6,037",4.8
Contributions from affiliated entities,,"2,857,703",1.3,,"12,516",1.4,,789,0.6
Investment return,,"-26,373,447",-12.0,,"-26,220",-3,,"1,342",1.1
Sales and services of educational activities,,"11,133,687",5.1,,"8,583",1,,"2,242",1.8
Sales and services of auxiliary enterprises,,"17,885,394",8.2,,"22,495",2.6,,—,—
Hospital revenue,,"39,433,334",18.0,,—,—,,—,—
Independent operations revenue,,"7,878,581",3.6,,—,—,,—,—
Other revenue,,"18,415,625",8.4,,"43,051",4.9,,"2,451",1.9
,,,,,,,,,
Total expenses,,"$245,074,215",100.0,,"$869,500",100.0,,"$133,319",100.0
,,,,,,,,,
Instruction,,"68,151,373",27.8,,"257,449",29.6,,"71,811",53.9
Research ,,"26,660,181",10.9,,611,0.1,,15,#
Public service,,"3,375,720",1.4,,"1,425",0.2,,170,0.1
Academic support,,"20,732,844",8.5,,"101,720",11.7,,"9,972",7.5
Student services,,"20,897,078",8.5,,"230,243",26.5,,"12,704",9.5
Institutional support,,"30,283,791",12.4,,"198,022",22.8,,"26,751",20.1
Net grant aid to students,,"1,500,173",0.6,,"5,913",0.7,,973,0.7
Auxiliary enterprises,,"18,157,768",7.4,,"19,960",2.3,,—,—
Hospital services,,"39,814,140",16.2,,—,—,,—,—
Independent operations,,"8,595,300",3.5,,—,—,,—,—
Other expenses,,"6,905,847",2.8,,"54,157",6.2,,"10,922",8.2
,,,,,,,,,
,,Private for-profit institutions (FASB standards),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$11,478,247",100.0,,"$3,558,792",100.0,,"$3,019,400",100.0
,,,,,,,,,
Tuition and fees,,"10,777,361",93.9,,"3,203,637",90.0,,"2,680,862",88.8
Government appropriations,,"3,727",#,,"9,297",0.3,,"14,310",0.5
Federal ,,"3,175",#,,"8,217",0.2,,"14,136",0.5
State,,552,#,,"1,080",#,,37,#
Local ,,0,0,,0,0,,137,#
Government grants and contracts,,"139,756",1.2,,"162,471",4.6,,"81,899",2.7
Federal (excludes FDSL loans),,"132,133",1.2,,"155,699",4.4,,"75,552",2.5
State,,"7,110",0.1,,"4,915",0.1,,"3,340",0.1
Local ,,513,#,,"1,857",0.1,,"3,007",0.1
"Private gifts, grants and contracts",,"15,277",0.1,,"1,660",#,,402,#
Investment income and investment gains (losses) ,,"20,910",0.2,,"5,913",0.2,,"12,894",0.4
Sales and services of educational activities,,"233,288",2,,"57,265",1.6,,"150,065",5
Sales and services of auxiliary enterprises,,"101,660",0.9,,"5,355",0.2,,—,—
Hospital revenue,,0,0,,—,—,,—,—
Other revenue,,"186,268",1.6,,"113,195",3.2,,"78,966",2.6
,,,,,,,,,
Total expenses,,"$10,256,724",100.0,,"$3,199,104",100.0,,"$2,347,597",100.0
,,,,,,,,,
Instruction,,"2,746,751",26.8,,"1,049,700",32.8,,"974,158",41.5
Research,,"8,679",0.1,,634,#,,"3,339",0.1
Public service,,"18,657",0.2,,"1,440",#,,"1,621",0.1
Academic support,,"1,107,135",10.8,,"257,074",8,,"173,619",7.4
Student services,,"2,147,255",20.9,,"587,019",18.3,,"330,779",14.1
Institutional support,,"3,474,121",33.9,,"956,624",29.9,,"555,791",23.7
Net grant aid to students,,"13,111",0.1,,"1,541",#,,"4,276",0.2
Auxiliary enterprises,,"188,223",1.8,,"29,434",0.9,,—,—
Hospital services,,0,0,,—,—,,—,—
Other expenses,,"552,793",5.4,,"315,637",9.9,,"304,014",13.0
— Not available. Data not collected from these institutions.,,,,,,,,,
# Rounds to zero.,,,,,,,,,
"1 In addition to the public institutions using Governmental Accounting Standards Board (GASB) standards, 17 public institutions (0.9 percent of public institutions) not displayed in this table reported $15.4 billion in revenue and investment return and $15.7 billion in expenses using Financial Accounting Standards Board (FASB) standards.",,,,,,,,,
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The U.S. Naval Academy, the U.S. Military Academy, the U.S. Coast Guard Academy, and the U.S. Air Force Academy are not Title IV eligible but are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public; they are included in this table. The U.S. Merchant Marine Academy is Title IV eligible and also included in this table. Percentages in the columns of this table use the corresponding dollar amount in the appropriate total row of each section as the denominator. Due to differences between Governmental Accounting Standards Board (GASB) standards and Financial Accounting Standards Board (FASB) standards, figures from public institutions are not comparable with figures from private institutions, even in categories with identical labels. FDSL is the Federal Direct Student Loan program. Detail may not sum to totals because of rounding. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/public/glossary. The glossary is primarily focused on terms used in the current IPEDS collection and may not reflect the definitions in effect when the data in this table were collected.",,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Spring 2023, Finance component (provisional data).",,,,,,,,,
