Detail Data For Oil Consumption Consuming Sector wise Having Year : ALL
.
YearValue,Broadcategory,ConsumingSector,Ownership,Qty_000Tonne_Consumption
2010,NON-ENERGY,NON-ENERGY,N/A,7762.000
2012,NON-ENERGY,NON-ENERGY,N/A,7540.000
2016,NON-ENERGY,NON-ENERGY,N/A,9682.000
2009,NON-ENERGY,NON-ENERGY,N/A,7028.000
2011,NON-ENERGY,NON-ENERGY,N/A,7219.000
2013,NON-ENERGY,NON-ENERGY,N/A,8066.000
2014,NON-ENERGY,NON-ENERGY,N/A,8489.000
2015,NON-ENERGY,NON-ENERGY,N/A,8308.000
2017,NON-ENERGY,NON-ENERGY,N/A,9587.990
2018,NON-ENERGY,NON-ENERGY,N/A,10169.090
2019,NON-ENERGY,NON-ENERGY,N/A,10661.540
2020,NON-ENERGY,NON-ENERGY,N/A,10261.830
2006,INDUSTRY,INDUSTRIAL,N/A,5205.000
2007,INDUSTRY,INDUSTRIAL,N/A,5441.000
2008,INDUSTRY,INDUSTRIAL,N/A,5950.000
2010,INDUSTRY,INDUSTRIAL,N/A,6586.000
2012,INDUSTRY,INDUSTRIAL,N/A,6138.000
2016,INDUSTRY,INDUSTRIAL,N/A,19297.000
2009,INDUSTRY,INDUSTRIAL,N/A,6166.000
2011,INDUSTRY,INDUSTRIAL,N/A,4982.000
2013,INDUSTRY,INDUSTRIAL,N/A,10135.000
2014,INDUSTRY,INDUSTRIAL,N/A,11756.000
2015,INDUSTRY,INDUSTRIAL,N/A,14407.000
2017,INDUSTRY,INDUSTRIAL,N/A,23963.990
2018,INDUSTRY,INDUSTRIAL,N/A,25656.730
2019,INDUSTRY,INDUSTRIAL,N/A,21345.930
2020,INDUSTRY,INDUSTRIAL,N/A,21659.400
2006,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,9141.000
2007,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,10920.000
2008,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,11751.000
2010,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,15116.000
2012,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,17295.000
2016,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,18773.000
2009,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,12359.000
2011,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,16381.000
2013,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,18347.000
2014,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,17868.000
2015,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,17669.000
2017,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,20069.700
2018,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,21163.690
2019,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,21453.660
2020,REFINERY FUEL & LOSSES,REFINERY FUEL AND LOSSES (RBF),N/A,23509.950
