key,prop,val,p1,v1,p2,v2,Month,,#End,#value,,
Hospital services(1)(3),consumerGoodsCategory,HospitalAndRelatedServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Motor vehicle maintenance and repair,consumerGoodsCategory,MotorVehicleMaintenanceAndRepair,,,,,,,,,,
Airline fares,consumerGoodsCategory,AirlineFares,,,,,,,,,,
Energy services,consumerGoodsCategory,EnergyServices,,,,,,,,,,
Electricity,consumerGoodsCategory,Electricity,,,,,,,,,,
Utility (piped) gas service,consumerGoodsCategory,UtilityPipedGasService,,,,,,,,,,
Rent of primary residence,consumerGoodsCategory,RentOfPrimaryResidence,,,,,,,,,,
Owners' equivalent rent of residences(1),consumerGoodsCategory,OwnersEquivalentRentOfResidences,unit,IndexPointBasePeriodDecember1982Equals100,,,,,,,,
Physicians' services,consumerGoodsCategory,PhysiciansServices,,,,,,,,,,
Hospital services(2),consumerGoodsCategory,HospitalAndRelatedServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
