"place_name","dcid","placeId","wikidataId","name","alternateName","typeOf","containedInPlace"
"YE","dcid:country/YEM","","","","","",""
"YT","dcid:country/MYT","","","","","",""
"ZA","dcid:country/ZAF","","","","","",""
"ZM","dcid:country/ZMB","","","","","",""
"ZW","dcid:country/ZWE","","","","","",""
"DE_TOT","dcid:nuts/DE_TOT","","","","","",""
"EA","dcid:nuts/EA","","","","","",""
"EA12","dcid:nuts/EA12","","","","","",""
"EA18","dcid:nuts/EA18","","","","","",""
"EA19","dcid:nuts/EA19","","","","","",""
"EEA","dcid:nuts/EEA","","","","","",""
"EEA30_2007","dcid:nuts/EEA30_2007","","","","","",""
"EEA31","dcid:nuts/EEA31","","","","","",""
"EFTA","dcid:nuts/EFTA","","","","","",""
"EU","dcid:nuts/EU","","","","","",""
"EU27","dcid:nuts/EU27","","","","","",""
"EU27_2007","dcid:nuts/EU27_2007","","","","","",""
"EU27_2020","dcid:nuts/EU27_2020","","","","","",""
"EA20","dcid:nuts/EA20","","","","","",""
"EA21","dcid:nuts/EA21","","","","","",""
"EU28","dcid:nuts/EU28","","","","","",""
"EEA28","dcid:nuts/EEA28","","","","","",""
