observationDate,observationAbout,value,observationPeriod,measurementMethod
2005,dcid:wikidataId/Q171382,430000,P1Y,WorldBankSubnationalPopulationEstimate
2006,dcid:wikidataId/Q171382,444000,P1Y,WorldBankSubnationalPopulationEstimate
2007,dcid:wikidataId/Q171382,457000,P1Y,WorldBankSubnationalPopulationEstimate
2008,dcid:wikidataId/Q171382,463000,P1Y,WorldBankSubnationalPopulationEstimate
2009,dcid:wikidataId/Q171382,474000,P1Y,WorldBankSubnationalPopulationEstimate
2010,dcid:wikidataId/Q171382,486000,P1Y,WorldBankSubnationalPopulationEstimate
2011,dcid:wikidataId/Q171382,500000,P1Y,WorldBankSubnationalPopulationEstimate
2012,dcid:wikidataId/Q171382,514000,P1Y,WorldBankSubnationalPopulationEstimate
2013,dcid:wikidataId/Q171382,529000,P1Y,WorldBankSubnationalPopulationEstimate
2014,dcid:wikidataId/Q171382,545000,P1Y,WorldBankSubnationalPopulationEstimate
2015,dcid:wikidataId/Q171382,559000,P1Y,WorldBankSubnationalPopulationEstimate
2016,dcid:wikidataId/Q171382,572000,P1Y,WorldBankSubnationalPopulationEstimate
2000,dcid:wikidataId/Q181220,362000,P1Y,WorldBankSubnationalPopulationEstimate
2001,dcid:wikidataId/Q181220,376000,P1Y,WorldBankSubnationalPopulationEstimate
2002,dcid:wikidataId/Q181220,393000,P1Y,WorldBankSubnationalPopulationEstimate
2003,dcid:wikidataId/Q181220,411000,P1Y,WorldBankSubnationalPopulationEstimate
2004,dcid:wikidataId/Q181220,428000,P1Y,WorldBankSubnationalPopulationEstimate
2005,dcid:wikidataId/Q181220,444000,P1Y,WorldBankSubnationalPopulationEstimate
2006,dcid:wikidataId/Q181220,458000,P1Y,WorldBankSubnationalPopulationEstimate
2007,dcid:wikidataId/Q181220,471000,P1Y,WorldBankSubnationalPopulationEstimate
2008,dcid:wikidataId/Q181220,478000,P1Y,WorldBankSubnationalPopulationEstimate
2009,dcid:wikidataId/Q181220,489000,P1Y,WorldBankSubnationalPopulationEstimate
2010,dcid:wikidataId/Q181220,501000,P1Y,WorldBankSubnationalPopulationEstimate
2011,dcid:wikidataId/Q181220,515000,P1Y,WorldBankSubnationalPopulationEstimate
2012,dcid:wikidataId/Q181220,530000,P1Y,WorldBankSubnationalPopulationEstimate
2013,dcid:wikidataId/Q181220,546000,P1Y,WorldBankSubnationalPopulationEstimate
2014,dcid:wikidataId/Q181220,517000,P1Y,WorldBankSubnationalPopulationEstimate
2015,dcid:wikidataId/Q181220,516000,P1Y,WorldBankSubnationalPopulationEstimate
2016,dcid:wikidataId/Q181220,514000,P1Y,WorldBankSubnationalPopulationEstimate
