Detail Data For Coal Supply - Production by Coal Sector & Company Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
State,CoalCategory,CoalCompany,CoalSector,CoalType,YearValue,QtyInMillionTonnes_Generation
JHARKHAND,COAL,CCL,CIL,COKING,2007,12.168
JHARKHAND,COAL,CCL,CIL,NON-COKING,2007,29.151
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2007,0.677
JHARKHAND,COAL,DVC,OTHER PUBLIC,COKING,2007,0.385
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2007,0.389
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2007,7.036
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2007,0.005
JHARKHAND,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COKING,2007,1.603
JHARKHAND,COAL,ECL,CIL,COKING,2008,0.015
JHARKHAND,COAL,ECL,CIL,NON-COKING,2008,8.959
JHARKHAND,COAL,BCCL,CIL,COKING,2008,11.973
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2008,13.081
JHARKHAND,COAL,CCL,CIL,COKING,2008,13.286
JHARKHAND,COAL,CCL,CIL,NON-COKING,2008,30.860
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2008,0.601
JHARKHAND,COAL,DVC,OTHER PUBLIC,COKING,2008,0.385
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2008,0.722
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2008,0.007
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2008,7.185
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2008,0.024
JHARKHAND,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COKING,2008,3.797
JHARKHAND,COAL,ECL,CIL,COKING,2009,0.025
JHARKHAND,COAL,ECL,CIL,NON-COKING,2009,12.727
JHARKHAND,COAL,BCCL,CIL,COKING,2009,13.047
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2009,12.338
JHARKHAND,COAL,CCL,CIL,COKING,2009,12.538
JHARKHAND,COAL,CCL,CIL,NON-COKING,2009,30.698
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2009,0.401
JHARKHAND,COAL,DVC,OTHER PUBLIC,COKING,2009,0.267
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2009,0.738
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2009,0.010
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2009,7.249
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2009,0.033
JHARKHAND,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COKING,2009,6.175
JHARKHAND,COAL,UML,PRIVATE,NON-COKING,2009,0.013
JHARKHAND,COAL,ESCL,PRIVATE,COKING,2009,0.013
JHARKHAND,COAL,ECL,CIL,COKING,2010,0.045
JHARKHAND,COAL,ECL,CIL,NON-COKING,2010,13.940
JHARKHAND,COAL,BCCL,CIL,COKING,2010,19.126
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2010,8.323
JHARKHAND,COAL,CCL,CIL,COKING,2010,16.209
JHARKHAND,COAL,CCL,CIL,NON-COKING,2010,30.874
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2010,0.461
JHARKHAND,COAL,DVC,OTHER PUBLIC,COKING,2010,0.141
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2010,0.932
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2010,7.158
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2010,0.052
JHARKHAND,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COKING,2010,8.476
JHARKHAND,COAL,UML,PRIVATE,NON-COKING,2010,0.062
JHARKHAND,COAL,ESCL,PRIVATE,COKING,2010,0.055
JHARKHAND,COAL,SAIL,OTHER PUBLIC,NON-COKING,2010,0.063
JHARKHAND,COAL,ECL,CIL,COKING,2011,0.039
JHARKHAND,COAL,ECL,CIL,NON-COKING,2011,15.444
JHARKHAND,COAL,BCCL,CIL,COKING,2011,25.254
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2011,3.721
JHARKHAND,COAL,CCL,CIL,COKING,2011,15.435
JHARKHAND,COAL,CCL,CIL,NON-COKING,2011,32.086
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2011,0.399
JHARKHAND,COAL,DVC,OTHER PUBLIC,COKING,2011,0.311
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2011,0.855
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2011,7.003
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2011,0.023
JHARKHAND,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COKING,2011,8.031
JHARKHAND,COAL,UML,PRIVATE,NON-COKING,2011,0.300
JHARKHAND,COAL,ESCL,PRIVATE,COKING,2011,0.034
JHARKHAND,COAL,SAIL,OTHER PUBLIC,COKING,2011,0.014
JHARKHAND,COAL,SAIL,OTHER PUBLIC,NON-COKING,2011,0.014
JHARKHAND,COAL,ECL,CIL,COKING,2012,0.041
JHARKHAND,COAL,ECL,CIL,NON-COKING,2012,14.209
JHARKHAND,COAL,BCCL,CIL,COKING,2012,27.216
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2012,2.957
JHARKHAND,COAL,CCL,CIL,COKING,2012,15.549
JHARKHAND,COAL,CCL,CIL,NON-COKING,2012,32.455
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2012,0.118
JHARKHAND,COAL,DVC,OTHER PUBLIC,COKING,2012,0.328
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2012,0.434
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2012,7.394
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2012,0.067
JHARKHAND,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COKING,2012,8.301
JHARKHAND,COAL,UML,PRIVATE,NON-COKING,2012,0.351
JHARKHAND,COAL,ESCL,PRIVATE,COKING,2012,0.106
JHARKHAND,COAL,SAIL,OTHER PUBLIC,COKING,2012,0.040
JHARKHAND,COAL,ECL,CIL,COKING,2013,0.033
JHARKHAND,COAL,ECL,CIL,NON-COKING,2013,16.290
JHARKHAND,COAL,BCCL,CIL,COKING,2013,26.950
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2013,4.195
JHARKHAND,COAL,CCL,CIL,COKING,2013,16.181
JHARKHAND,COAL,CCL,CIL,NON-COKING,2013,31.880
JHARKHAND,COAL,DVC,OTHER PUBLIC,NON-COKING,2013,0.203
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2013,0.560
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2013,7.214
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2013,0.081
JHARKHAND,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COKING,2013,6.926
JHARKHAND,COAL,UML,PRIVATE,NON-COKING,2013,0.560
JHARKHAND,COAL,ESCL,PRIVATE,COKING,2013,0.094
JHARKHAND,COAL,ESCL,PRIVATE,NON-COKING,2013,0.005
JHARKHAND,COAL,SAIL,OTHER PUBLIC,COKING,2013,0.033
JHARKHAND,COAL,SAIL,OTHER PUBLIC,NON-COKING,2013,0.069
JHARKHAND,COAL,ECL,CIL,COKING,2014,0.038
JHARKHAND,COAL,ECL,CIL,NON-COKING,2014,17.133
JHARKHAND,COAL,BCCL,CIL,COKING,2014,28.709
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2014,2.356
JHARKHAND,COAL,CCL,CIL,COKING,2014,18.441
JHARKHAND,COAL,CCL,CIL,NON-COKING,2014,31.581
JHARKHAND,COAL,DVC,OTHER PUBLIC,NON-COKING,2014,0.054
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2014,0.541
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2014,6.905
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2014,0.067
JHARKHAND,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COKING,2014,5.879
JHARKHAND,COAL,UML,PRIVATE,NON-COKING,2014,0.762
JHARKHAND,COAL,ESCL,PRIVATE,COKING,2014,0.410
JHARKHAND,COAL,ESCL,PRIVATE,NON-COKING,2014,0.051
JHARKHAND,COAL,SAIL,OTHER PUBLIC,COKING,2014,0.044
JHARKHAND,COAL,SAIL,OTHER PUBLIC,NON-COKING,2014,0.025
JHARKHAND,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2014,0.095
JHARKHAND,COAL,ECL,CIL,COKING,2015,0.030
JHARKHAND,COAL,ECL,CIL,NON-COKING,2015,19.372
JHARKHAND,COAL,BCCL,CIL,COKING,2015,30.194
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2015,3.270
JHARKHAND,COAL,CCL,CIL,COKING,2015,19.326
JHARKHAND,COAL,CCL,CIL,NON-COKING,2015,36.326
JHARKHAND,COAL,DVC,OTHER PUBLIC,NON-COKING,2015,0.066
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2015,0.420
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2015,6.028
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2015,0.016
JHARKHAND,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COKING,2015,3.433
JHARKHAND,COAL,UML,PRIVATE,NON-COKING,2015,0.790
JHARKHAND,COAL,ESCL,PRIVATE,COKING,2015,0.413
JHARKHAND,COAL,ESCL,PRIVATE,NON-COKING,2015,0.023
JHARKHAND,COAL,SAIL,OTHER PUBLIC,COKING,2015,0.024
JHARKHAND,COAL,SAIL,OTHER PUBLIC,NON-COKING,2015,0.001
JHARKHAND,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2015,4.000
JHARKHAND,COAL,ECL,CIL,COKING,2016,0.012
JHARKHAND,COAL,ECL,CIL,NON-COKING,2016,19.035
JHARKHAND,COAL,BCCL,CIL,COKING,2016,30.653
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2016,2.650
JHARKHAND,COAL,CCL,CIL,COKING,2016,20.697
JHARKHAND,COAL,CCL,CIL,NON-COKING,2016,40.627
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2016,0.190
JHARKHAND,COAL,DVC,OTHER PUBLIC,COKING,2016,0.403
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2016,0.572
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2016,6.225
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2016,0.003
JHARKHAND,COAL,ECL,CIL,COKING,2017,0.030
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2017,4.320
JHARKHAND,COAL,ECL,CIL,NON-COKING,2017,16.900
JHARKHAND,COAL,CCL,CIL,COKING,2017,21.990
JHARKHAND,COAL,BCCL,CIL,COKING,2017,30.580
JHARKHAND,COAL,CCL,CIL,NON-COKING,2017,45.060
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2017,0.030
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2017,0.090
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2017,0.150
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2017,0.230
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2017,0.300
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2017,0.460
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2017,1.310
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2017,5.010
JHARKHAND,COAL,ECL,CIL,COKING,2018,0.034
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2018,8.940
JHARKHAND,COAL,CCL,CIL,COKING,2018,9.577
JHARKHAND,COAL,ECL,CIL,NON-COKING,2018,17.930
JHARKHAND,COAL,BCCL,CIL,COKING,2018,22.286
JHARKHAND,COAL,CCL,CIL,NON-COKING,2018,53.828
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2018,0.001
JHARKHAND,COAL,DVC,OTHER PUBLIC,COKING,2018,0.047
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2018,0.093
JHARKHAND,COAL,SAIL,OTHER PUBLIC,COKING,2018,0.185
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2018,0.322
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2018,0.351
JHARKHAND,COAL,NTPC,OTHER PUBLIC,NON-COKING,2018,2.679
JHARKHAND,COAL,HIL,PRIVATE,NON-COKING,2018,0.800
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2018,1.178
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2018,5.046
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2019,6.568
JHARKHAND,COAL,BCCL,CIL,COKING,2019,23.283
JHARKHAND,COAL,CCL,CIL,COKING,2019,9.340
JHARKHAND,COAL,CCL,CIL,NON-COKING,2019,59.381
JHARKHAND,COAL,ECL,CIL,COKING,2019,0.029
JHARKHAND,COAL,ECL,CIL,NON-COKING,2019,20.736
JHARKHAND,COAL,HIL,PRIVATE,NON-COKING,2019,0.798
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2019,0.003
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2019,0.351
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2019,0.092
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2019,0.228
JHARKHAND,COAL,NTPC,OTHER PUBLIC,NON-COKING,2019,0.501
JHARKHAND,COAL,NTPC,OTHER PUBLIC,NON-COKING,2019,6.810
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2019,1.243
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2019,5.303
JHARKHAND,COAL,ECL,CIL,COKING,2020,0.026
JHARKHAND,COAL,BCCL,CIL,COKING,2020,25.801
JHARKHAND,COAL,CCL,CIL,COKING,2020,20.027
JHARKHAND,COAL,DVC,OTHER PUBLIC,COKING,2020,0.000
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2020,0.230
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2020,0.070
