STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2004,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2006,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2008,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2010,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2012,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2014,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2016,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2018,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2019,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2020,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2022,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2023,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1995,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1996,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1997,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1998,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1999,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2000,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2001,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2002,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2003,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2004,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2005,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2006,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2007,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2008,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2009,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2010,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2011,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2012,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2013,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2014,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2015,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2016,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2017,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2018,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2019,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2020,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2022,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,BEL,Belgium,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2023,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CAN,Canada,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1983,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CAN,Canada,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1994,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CAN,Canada,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2006,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CAN,Canada,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2020,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CHL,Chile,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2008,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CHL,Chile,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2018,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CHL,Chile,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2019,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CHL,Chile,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2020,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CHL,Chile,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CZE,Czechia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2000,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CZE,Czechia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2001,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CZE,Czechia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2020,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CZE,Czechia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,CZE,Czechia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2022,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,DNK,Denmark,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1991,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,DNK,Denmark,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2001,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,DNK,Denmark,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2002,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,DNK,Denmark,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2009,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,DNK,Denmark,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2012,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1994,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1995,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1996,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1997,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1998,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1999,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2000,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2001,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2002,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2003,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2004,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2005,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2006,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2007,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2008,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2009,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2011,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2012,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2013,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2014,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2015,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2016,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2017,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2018,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2019,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2020,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,EST,Estonia,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2022,,0,,A,Normal value,0,Units,1,One
