observationDate,value,observationAbout,variableMeasured,unit
2015,1609872000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_LocalFunding_Operating,USDollar
2015,0.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_LocalFunding_Operating,Percent
2015,308298000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_LocalFunding_Operating,USDollar
2015,0.5,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_LocalFunding_Operating,Percent
2015,27720000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_LocalFunding_Operating,USDollar
2015,3.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_LocalFunding_Operating,Percent
2015,9966840000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_PrivateFunding_Operating,USDollar
2015,3.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_PrivateFunding_Operating,Percent
2015,253686000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_PrivateFunding_Operating,USDollar
2015,0.4,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_PrivateFunding_Operating,Percent
2015,1103000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_PrivateFunding_Operating,USDollar
2015,0.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_PrivateFunding_Operating,Percent
2015,24014938000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_SalesAndServicesOfAuxiliaryEnterprises_Operating,USDollar
2015,8.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_SalesAndServicesOfAuxiliaryEnterprises_Operating,Percent
2015,1750881000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_SalesAndServicesOfAuxiliaryEnterprises_Operating,USDollar
2015,3.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_SalesAndServicesOfAuxiliaryEnterprises_Operating,Percent
2015,38377649000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_HospitalSales_Operating,USDollar
2015,13.8,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_HospitalSales_Operating,Percent
2015,0,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_HospitalSales_Operating,USDollar
2015,0,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_HospitalSales_Operating,Percent
2015,9024749000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_EducationalSales_Operating,USDollar
2015,3.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_EducationalSales_Operating,Percent
2015,162085000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_EducationalSales_Operating,USDollar
2015,0.3,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_EducationalSales_Operating,Percent
2015,5113000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_EducationalSales_Operating,USDollar
2015,0.7,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_EducationalSales_Operating,Percent
2015,1476595000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_IndependentOperations_Operating,USDollar
2015,0.5,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_IndependentOperations_Operating,Percent
2015,0,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_IndependentOperations_Operating,USDollar
2015,0,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_IndependentOperations_Operating,Percent
2015,8861326000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_OtherOperatingRevenues_Operating,USDollar
2015,3.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_OtherOperatingRevenues_Operating,Percent
2015,740532000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_OtherOperatingRevenues_Operating,USDollar
2015,1.3,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_OtherOperatingRevenues_Operating,Percent
2015,47716000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_OtherOperatingRevenues_Operating,USDollar
2015,6.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_OtherOperatingRevenues_Operating,Percent
2015,79793929000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_TotalNonOperatingRevenues_Operating,USDollar
2015,28.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_TotalNonOperatingRevenues_Operating,Percent
2015,38400709000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_TotalNonOperatingRevenues_Operating,USDollar
2015,67.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_TotalNonOperatingRevenues_Operating,Percent
2015,439947000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_TotalNonOperatingRevenues_Operating,USDollar
2015,56.7,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_TotalNonOperatingRevenues_Operating,Percent
2015,52622454000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_NonOperating,USDollar
2015,18.9,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_NonOperating,Percent
2015,25202931000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_NonOperating,USDollar
2015,44,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_NonOperating,Percent
2015,327413000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_NonOperating,USDollar
2015,42.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_NonOperating,Percent
2015,1650355000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_FederalFunding_Appropriations,USDollar
2015,0.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_FederalFunding_Appropriations,Percent
2015,104516000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_FederalFunding_Appropriations,USDollar
2015,0.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_FederalFunding_Appropriations,Percent
2015,12270000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_FederalFunding_Appropriations,USDollar
2015,1.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_FederalFunding_Appropriations,Percent
2015,50386091000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_StateFunding_Appropriations,USDollar
2015,18.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_StateFunding_Appropriations,Percent
2015,14297368000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_StateFunding_Appropriations,USDollar
2015,25,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_StateFunding_Appropriations,Percent
2015,157876000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_StateFunding_Appropriations,USDollar
2015,20.4,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_StateFunding_Appropriations,Percent
2015,586009000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_LocalFunding_Appropriations,USDollar
2015,0.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_LocalFunding_Appropriations,Percent
2015,10801047000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_LocalFunding_Appropriations,USDollar
2015,18.9,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_LocalFunding_Appropriations,Percent
2015,157267000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_LocalFunding_Appropriations,USDollar
2015,20.3,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_LocalFunding_Appropriations,Percent
2015,14354290000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_Appropriations,USDollar
2015,5.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_Appropriations,Percent
2015,12038429000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_Appropriations,USDollar
2015,21,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_Appropriations,Percent
2015,97818000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_Appropriations,USDollar
2015,12.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_Appropriations,Percent
2015,11329817000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_FederalFunding_NonOperatingGrants,USDollar
2015,4.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_FederalFunding_NonOperatingGrants,Percent
2015,10349401000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_FederalFunding_NonOperatingGrants,USDollar
2015,18.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_FederalFunding_NonOperatingGrants,Percent
2015,87561000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_FederalFunding_NonOperatingGrants,USDollar
2015,11.3,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_FederalFunding_NonOperatingGrants,Percent
2015,2866382000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_StateFunding_NonOperatingGrants,USDollar
2015,1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_StateFunding_NonOperatingGrants,Percent
2015,1555261000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_StateFunding_NonOperatingGrants,USDollar
2015,2.7,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_StateFunding_NonOperatingGrants,Percent
2015,9654000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_StateFunding_NonOperatingGrants,USDollar
2015,1.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_StateFunding_NonOperatingGrants,Percent
2015,158091000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_LocalFunding_NonOperatingGrants,USDollar
2015,0.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_LocalFunding_NonOperatingGrants,Percent
2015,133767000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_LocalFunding_NonOperatingGrants,USDollar
2015,0.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_LocalFunding_NonOperatingGrants,Percent
2015,604000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_LocalFunding_NonOperatingGrants,USDollar
2015,0.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_LocalFunding_NonOperatingGrants,Percent
2015,7394437000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_Gifts_NonOperatingGrants,USDollar
2015,2.7,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_Gifts_NonOperatingGrants,Percent
2015,316434000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_Gifts_NonOperatingGrants,USDollar
2015,0.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_Gifts_NonOperatingGrants,Percent
2015,5291000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_Gifts_NonOperatingGrants,USDollar
2015,0.7,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_Gifts_NonOperatingGrants,Percent
2015,958393000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_InvestmentIncome_NonOperatingGrants,USDollar
2015,0.3,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_InvestmentIncome_NonOperatingGrants,Percent
2015,147956000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_InvestmentIncome_NonOperatingGrants,USDollar
2015,0.3,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_InvestmentIncome_NonOperatingGrants,Percent
2015,1228000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_InvestmentIncome_NonOperatingGrants,USDollar
2015,0.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_InvestmentIncome_NonOperatingGrants,Percent
2015,4464354000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_OtherNonOperatingRevenue_NonOperatingGrants,USDollar
2015,1.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_OtherNonOperatingRevenue_NonOperatingGrants,Percent
2015,694959000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_OtherNonOperatingRevenue_NonOperatingGrants,USDollar
2015,1.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_OtherNonOperatingRevenue_NonOperatingGrants,Percent
2015,8196000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_OtherNonOperatingRevenue_NonOperatingGrants,USDollar
2015,1.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_OtherNonOperatingRevenue_NonOperatingGrants,Percent
2015,15354689000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_TotalOtherRevenues_NonOperatingGrants,USDollar
2015,5.5,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_TotalOtherRevenues_NonOperatingGrants,Percent
2015,2593427000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_TotalOtherRevenues_NonOperatingGrants,USDollar
2015,4.5,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_TotalOtherRevenues_NonOperatingGrants,Percent
2015,20071000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_TotalOtherRevenues_NonOperatingGrants,USDollar
2015,2.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_TotalOtherRevenues_NonOperatingGrants,Percent
2015,4632561000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_CapitalAppropriations_NonOperatingGrants,USDollar
2015,1.7,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_CapitalAppropriations_NonOperatingGrants,Percent
2015,1663135000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_CapitalAppropriations_NonOperatingGrants,USDollar
2015,2.9,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_CapitalAppropriations_NonOperatingGrants,Percent
2015,3383607000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_CapitalGrantsGifts_NonOperatingGrants,USDollar
2015,1.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_CapitalGrantsGifts_NonOperatingGrants,Percent
2015,326095000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_CapitalGrantsGifts_NonOperatingGrants,USDollar
2015,0.6,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_CapitalGrantsGifts_NonOperatingGrants,Percent
2015,998211000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_AdditionsPermanent_NonOperatingGrants,USDollar
2015,0.4,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_AdditionsPermanent_NonOperatingGrants,Percent
2015,14047000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_AdditionsPermanent_NonOperatingGrants,USDollar
2015,6340310000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_OtherRevenues_NonOperatingGrants,USDollar
2015,2.3,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_OtherRevenues_NonOperatingGrants,Percent
2015,590151000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_OtherRevenues_NonOperatingGrants,USDollar
2015,1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_OtherRevenues_NonOperatingGrants,Percent
2015,270180051000,country/USA,dcid:Expenditure_ExpenditureActivity_TotalExpenses_PublicInstitution_FourYear_NonOperatingGrants,USDollar
2015,100,country/USA,dcid:Expenditure_ExpenditureActivity_TotalExpenses_PublicInstitution_FourYear_NonOperatingGrants,Percent
2015,55035812000,country/USA,dcid:Expenditure_ExpenditureActivity_TotalExpenses_PublicInstitution_TwoYear_NonOperatingGrants,USDollar
2015,100,country/USA,dcid:Expenditure_ExpenditureActivity_TotalExpenses_PublicInstitution_TwoYear_NonOperatingGrants,Percent
2015,690225000,country/USA,dcid:Expenditure_ExpenditureActivity_TotalExpenses_PublicInstitution_LessThanTwoYear_NonOperatingGrants,USDollar
2015,100,country/USA,dcid:Expenditure_ExpenditureActivity_TotalExpenses_PublicInstitution_LessThanTwoYear_NonOperatingGrants,Percent
2015,79060351000,country/USA,dcid:Expenditure_ExpenditureActivity_Instruction_PublicInstitution_FourYear_NonOperatingGrants,USDollar
2015,29.3,country/USA,dcid:Expenditure_ExpenditureActivity_Instruction_PublicInstitution_FourYear_NonOperatingGrants,Percent
2015,23702105000,country/USA,dcid:Expenditure_ExpenditureActivity_Instruction_PublicInstitution_TwoYear_NonOperatingGrants,USDollar
2015,43.1,country/USA,dcid:Expenditure_ExpenditureActivity_Instruction_PublicInstitution_TwoYear_NonOperatingGrants,Percent
2015,357328000,country/USA,dcid:Expenditure_ExpenditureActivity_Instruction_PublicInstitution_LessThanTwoYear_NonOperatingGrants,USDollar
2015,51.8,country/USA,dcid:Expenditure_ExpenditureActivity_Instruction_PublicInstitution_LessThanTwoYear_NonOperatingGrants,Percent
2015,33401114000,country/USA,dcid:Expenditure_ExpenditureActivity_Research_PublicInstitution_FourYear_NonOperatingGrants,USDollar
2015,12.4,country/USA,dcid:Expenditure_ExpenditureActivity_Research_PublicInstitution_FourYear_NonOperatingGrants,Percent
2015,24007000,country/USA,dcid:Expenditure_ExpenditureActivity_Research_PublicInstitution_TwoYear_NonOperatingGrants,USDollar
2015,0,country/USA,dcid:Expenditure_ExpenditureActivity_Research_PublicInstitution_LessThanTwoYear_NonOperatingGrants,USDollar
2015,0,country/USA,dcid:Expenditure_ExpenditureActivity_Research_PublicInstitution_LessThanTwoYear_NonOperatingGrants,Percent
2015,13025814000,country/USA,dcid:Expenditure_ExpenditureActivity_PublicService_PublicInstitution_FourYear_NonOperatingGrants,USDollar
2015,4.8,country/USA,dcid:Expenditure_ExpenditureActivity_PublicService_PublicInstitution_FourYear_NonOperatingGrants,Percent
2015,852380000,country/USA,dcid:Expenditure_ExpenditureActivity_PublicService_PublicInstitution_TwoYear_NonOperatingGrants,USDollar
2015,1.5,country/USA,dcid:Expenditure_ExpenditureActivity_PublicService_PublicInstitution_TwoYear_NonOperatingGrants,Percent
2015,2457000,country/USA,dcid:Expenditure_ExpenditureActivity_PublicService_PublicInstitution_LessThanTwoYear_NonOperatingGrants,USDollar
2015,0.4,country/USA,dcid:Expenditure_ExpenditureActivity_PublicService_PublicInstitution_LessThanTwoYear_NonOperatingGrants,Percent
2015,22659028000,country/USA,dcid:Expenditure_ExpenditureActivity_AcademicSupport_PublicInstitution_FourYear_NonOperatingGrants,USDollar
2015,8.4,country/USA,dcid:Expenditure_ExpenditureActivity_AcademicSupport_PublicInstitution_FourYear_NonOperatingGrants,Percent
2015,4887062000,country/USA,dcid:Expenditure_ExpenditureActivity_AcademicSupport_PublicInstitution_TwoYear_NonOperatingGrants,USDollar
2015,8.9,country/USA,dcid:Expenditure_ExpenditureActivity_AcademicSupport_PublicInstitution_TwoYear_NonOperatingGrants,Percent
2015,58546000,country/USA,dcid:Expenditure_ExpenditureActivity_AcademicSupport_PublicInstitution_LessThanTwoYear_NonOperatingGrants,USDollar
2015,8.5,country/USA,dcid:Expenditure_ExpenditureActivity_AcademicSupport_PublicInstitution_LessThanTwoYear_NonOperatingGrants,Percent
2015,13140660000,country/USA,dcid:Expenditure_ExpenditureActivity_StudentServices_PublicInstitution_FourYear_NonOperatingGrants,USDollar
2015,4.9,country/USA,dcid:Expenditure_ExpenditureActivity_StudentServices_PublicInstitution_FourYear_NonOperatingGrants,Percent
2015,6000745000,country/USA,dcid:Expenditure_ExpenditureActivity_StudentServices_PublicInstitution_TwoYear_NonOperatingGrants,USDollar
2015,10.9,country/USA,dcid:Expenditure_ExpenditureActivity_StudentServices_PublicInstitution_TwoYear_NonOperatingGrants,Percent
2015,58532000,country/USA,dcid:Expenditure_ExpenditureActivity_StudentServices_PublicInstitution_LessThanTwoYear_NonOperatingGrants,USDollar
2015,8.5,country/USA,dcid:Expenditure_ExpenditureActivity_StudentServices_PublicInstitution_LessThanTwoYear_NonOperatingGrants,Percent
2015,23524410000,country/USA,dcid:Expenditure_ExpenditureActivity_InstitutionalSupport_PublicInstitution_FourYear_NonOperatingGrants,USDollar
2015,8.7,country/USA,dcid:Expenditure_ExpenditureActivity_InstitutionalSupport_PublicInstitution_FourYear_NonOperatingGrants,Percent
2015,9108251000,country/USA,dcid:Expenditure_ExpenditureActivity_InstitutionalSupport_PublicInstitution_TwoYear_NonOperatingGrants,USDollar
2015,16.5,country/USA,dcid:Expenditure_ExpenditureActivity_InstitutionalSupport_PublicInstitution_TwoYear_NonOperatingGrants,Percent
2015,124743000,country/USA,dcid:Expenditure_ExpenditureActivity_InstitutionalSupport_PublicInstitution_LessThanTwoYear_NonOperatingGrants,USDollar
2015,18.1,country/USA,dcid:Expenditure_ExpenditureActivity_InstitutionalSupport_PublicInstitution_LessThanTwoYear_NonOperatingGrants,Percent
2015,10038559000,country/USA,dcid:Expenditure_ExpenditureActivity_ScholarshipFelllowships_PublicInstitution_FourYear_NonOperatingGrants,USDollar
2015,3.7,country/USA,dcid:Expenditure_ExpenditureActivity_ScholarshipFelllowships_PublicInstitution_FourYear_NonOperatingGrants,Percent
2015,5873371000,country/USA,dcid:Expenditure_ExpenditureActivity_ScholarshipFelllowships_PublicInstitution_TwoYear_NonOperatingGrants,USDollar
2015,10.7,country/USA,dcid:Expenditure_ExpenditureActivity_ScholarshipFelllowships_PublicInstitution_TwoYear_NonOperatingGrants,Percent
