key,prop,val,p1,v1,p2,v2,,,,,,,,,,,,,,
Total de CREAS municipais e regionais que completaram o preenchimento do Censo SUAS,value,{Number},populationType,CivicStructure,placeCategory,BRA_SpecializedReferenceCentersForSocialAssistance,brazilCenterLevel,MunicipalAndRegionalLevel,censusStatus,CompletedCensus,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,observationPeriod,P1Y,name,"""Total municipal and regional CREAS that completed the SUAS Census""",nameWithLanguage,"""Total de CREAS municipais e regionais que completaram o preenchimento do Censo SUAS@pt"""
Número de vagas em unidade de acolhimento,value,{Number},populationType,Shelters,,,occupancyStatus,Vacant,,,,,,,observationPeriod,P1Y,name,"""Number of vacancies in Shelter Units""",nameWithLanguage,"""Número de vagas em unidade de acolhimento@pt"""
Quantidade de Pensa?o Especial,value,{Number},populationType,Children,medicalCondition,ZikaVirusSyndrome,pensionType,BRA_SpecialPension,,,,,,,observationPeriod,P1Y,name,"""Number of children with Zika virus syndrome under special pension.""",nameWithLanguage,"""Quantidade de Pensa?o Especial@pt"""
Quantidade de Pensa?o Especial Masculino,value,{Number},populationType,Children,medicalCondition,ZikaVirusSyndrome,pensionType,BRA_SpecialPension,gender,Male,,,,,observationPeriod,P1Y,name,"""Number of male children with Zika virus syndrome under special pension.""",nameWithLanguage,"""Quantidade de Pensa?o Especial Masculino@pt"""
Quantidade de Pensa?o Especial Feminino,value,{Number},populationType,Children,medicalCondition,ZikaVirusSyndrome,pensionType,BRA_SpecialPension,gender,Female,,,,,observationPeriod,P1Y,name,"""Number of female children with Zika virus syndrome under special pension.""",nameWithLanguage,"""Quantidade de Pensa?o Especial Feminino@pt"""
Recurso pago de Pensa?o Especial,value,{Number},populationType,EconomicActivity,medicalCondition,ZikaVirusSyndrome,pensionType,BRA_SpecialPension,measuredProperty,amount,,,unit,BRL,observationPeriod,P1Y,name,"""Amount paid in Special Pensions for children with Zika virus syndrome.""",nameWithLanguage,"""Recurso pago de Pensa?o Especial@pt"""
Quantidade de Pensa?o Especial com Concessão Administrativa,value,{Number},populationType,Children,medicalCondition,ZikaVirusSyndrome,pensionType,BRA_SpecialPension,pensionApproved,AdministrativeGrant,,,,,observationPeriod,P1Y,name,"""Number of Special Pensions granted administratively to children with Zika virus syndrome.""",nameWithLanguage,"""Quantidade de Pensa?o Especial com Concessão Administrativa@pt"""
Quantidade de Pensa?o Especial com Concessão judicia,value,{Number},populationType,Children,medicalCondition,ZikaVirusSyndrome,pensionType,BRA_SpecialPension,pensionApproved,JudicialGrant,,,,,observationPeriod,P1Y,name,"""Number of Special Pensions granted judicially with Zika virus syndrome.""",nameWithLanguage,"""Quantidade de Pensa?o Especial com Concessão judicia@pt"""
Qtde de Centro de Convivência,value,{Number},populationType,CivicStructure,placeCategory,CommunityCenters,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,,,,,observationPeriod,P1M,name,"""Number of Community Centers under Unified Social Assistance System""",nameWithLanguage,"""Quantidade de Centro de Convivência sob o Sistema Único de Assistência Social (SUAS)@pt"""
Qtde de Centro POP,value,{Number},populationType,CivicStructure,placeCategory,BRA_SpecializedReferenceCenterForHomeless,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,,,,,observationPeriod,P1M,name,"""Number of Special Reference Centers for Homeless under Unified Social Assistance System""",nameWithLanguage,"""Quantidade de Centros de Referência Especializados para Pessoas em Situação de Rua sob o Sistema Único de Assistência Social (SUAS)@pt"""
Qtde de Centro-Dia e Similares,value,{Number},populationType,CivicStructure,placeCategory,DayCentersAndSimilarServices,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,,,,,observationPeriod,P1M,name,"""Number of Day Care Centers or similar services under Unified Social Assistance System""",nameWithLanguage,"""Quantidade de Centros-Dia e Serviços Similares sob o Sistema Único de Assistência Social (SUAS)@pt"""
Qtde de CRAS,value,{Number},populationType,CivicStructure,placeCategory,BRA_SocialAssistanceReferenceCenters,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,,,,,observationPeriod,P1M,name,"""Number of Social Reference Centers for Social Assisstance under Unified Social Assistance System""",nameWithLanguage,"""Quantidade de Centros de Referência de Assistência Social (CRAS) sob o Sistema Único de Assistência Social (SUAS)@pt"""
Qtde de CREAS,value,{Number},populationType,CivicStructure,placeCategory,BRA_SpecializedReferenceCentersForSocialAssistance,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,,,,,observationPeriod,P1M,name,"""Number of Specialized Reference Centers for Social Assistance under Unified Social Assistance System""",nameWithLanguage,"""Quantidade de Centros de Referência Especializados em Assistência Social sob o Sistema Único de Assistência Social (SUAS)@pt"""
Qtde de CREAS Regional,value,{Number},populationType,CivicStructure,placeCategory,BRA_SpecializedReferenceCentersForSocialAssistance,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,brazilCenterLevel,RegionalLevel,,,,,observationPeriod,P1M,name,"""Number of Regional level Specialized Reference Centers for Social Assistance under Unified Social Assistance System""",nameWithLanguage,"""Quantidade de Centros de Referência Especializados Regionais em Assistência Social sob o Sistema Único de Assistência Social (SUAS)@pt"""
Qtde de Unidade de Acolhimento,value,{Number},populationType,Shelters,,,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,,,,,observationPeriod,P1M,name,"""Number of Shelter Units under Unified Social Assistance System""",nameWithLanguage,"""Quantidade de Unidades de Acolhimento sob o Sistema Único de Assistência Social (SUAS)@pt"""
Valores repassados para a Gestão do SUAS (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,brazilCenterLevel,MunicipalLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for the Management of the Municipal level Unified Social Assistance System""",nameWithLanguage,"""Valores repassados para a Gestão do SUAS em Municipal nível@pt"""
Valores repassados para a Gestão do SUAS (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,brazilCenterLevel,StateLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for the Management of the State level Unified Social Assistance System""",nameWithLanguage,"""Valores repassados para a Gestão do SUAS em Estadual nível@pt"""
Valores repassados para a Proteção Social Básica (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_BasicSocialProtection,brazilCenterLevel,MunicipalLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for Municipal level Basic Social Protection""",nameWithLanguage,"""Valores repassados para a Proteção Social Básica em Municipal nível@pt"""
Valores repassados para a Proteção Social Básica (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_BasicSocialProtection,brazilCenterLevel,StateLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for State level Basic Social Protection""",nameWithLanguage,"""Valores repassados para a Proteção Social Básica em Estadual nível@pt"""
Valores repassados para a Proteção Social Especial de Alta Complexidade (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_HighComplexitySpecializedSocialProtection,brazilCenterLevel,MunicipalLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for Municipal level High Complexity Specialized Social Protection""",nameWithLanguage,"""Valores repassados para a Proteção Social Especial de Alta Complexidade em Municipal nível@pt"""
Valores repassados para a Proteção Social Especial de Alta Complexidade (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_HighComplexitySpecializedSocialProtection,brazilCenterLevel,StateLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for State level High Complexity Specialized Social Protection""",nameWithLanguage,"""Valores repassados para a Proteção Social Especial de Alta Complexidade em Estadual nível@pt"""
Valores repassados para a Proteção Social Especial de Média Complexidade (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_MediumComplexitySpecializedSocialProtection,brazilCenterLevel,MunicipalLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for Municipal level Medium Complexity Specialized Social Protection""",nameWithLanguage,"""Valores repassados para a Proteção Social Especial de Média Complexidade em Municipal nível@pt"""
Valores repassados para a Proteção Social Especial de Média Complexidade (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_MediumComplexitySpecializedSocialProtection,brazilCenterLevel,StateLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for State level Medium Complexity Specialized Social Protection""",nameWithLanguage,"""Valores repassados para a Proteção Social Especial de Média Complexidade em Estadual nível@pt"""
Valores repassados para Grupo de Programas (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_GroupOfPrograms,brazilCenterLevel,MunicipalLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for Municipal level Group of Programs""",nameWithLanguage,"""Valores repassados para Grupo de Programas em Municipal nível@pt"""
Valores repassados para Grupo de Programas (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_GroupOfPrograms,brazilCenterLevel,StateLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for State level Group of Programs""",nameWithLanguage,"""Valores repassados para Grupo de Programas em Estadual nível@pt"""
Valores repassados sem classificação (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,fundType,MunicipalUnclassifiedFunds,,,unit,BRL,observationPeriod,P1M,name,"""Municipal level Unclassified funds""",nameWithLanguage,"""Valores repassados sem classificação em Municipal nível@pt"""
Valores repassados sem classificação (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,fundType,StateUnclassifiedFunds,,,unit,BRL,observationPeriod,P1M,name,"""State level Unclassified funds""",nameWithLanguage,"""Valores repassados sem classificação em Estadual nível@pt"""
Transferências voluntárias Fundo a Fundo (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,fundType,MunicipalVoluntaryFunds,,,unit,BRL,observationPeriod,P1M,name,"""Municipal level Voluntary funds""",nameWithLanguage,"""Transferências voluntárias Fundo a Fundo em Municipal nível@pt"""
Transferências voluntárias Fundo a Fundo (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,fundType,StateVoluntaryFunds,,,unit,BRL,observationPeriod,P1M,name,"""State level Voluntary funds""",nameWithLanguage,"""Transferências voluntárias Fundo a Fundo em Estadual nível@pt"""
Valor total repassado via Fundo Municipal,value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,fundType,MunicipalFunds,,,unit,BRL,observationPeriod,P1M,name,"""Total amount transferred via Municipal Fund""",nameWithLanguage,"""Valor total repassado via Fundo em Municipal nível@pt"""
Valor total repassado via Fundo Estadual,value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,fundType,StateFunds,,,unit,BRL,observationPeriod,P1M,name,"""Total amount transferred via State Fund""",nameWithLanguage,"""Valor total repassado via Fundo em Estadual nível@pt"""
Valor total repassado via Fundos Municipal e Estadual,value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,fundType,MunicipalAndStateFunds,,,unit,BRL,observationPeriod,P1M,name,"""Total amount transferred via Municipal and State Funds""",nameWithLanguage,"""Valor total repassado via Fundos em Municipal e em Estadual nível@pt"""
Valores repassados para a Gestão do Programa Bolsa Família e do Cadastro Único (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,benefitProgram,Brazil_BolsaFamiliaProgramAndSingleRegistrySocialPrograms,brazilCenterLevel,MunicipalLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for the management of the Bolsa Família Program and the Unified Registry at Municipal Level""",nameWithLanguage,"""Valores repassados para a Gestão do Programa Bolsa Família e do Cadastro Único em Municipal nível@pt"""
Valores repassados para a Gestão do Programa Bolsa Família e do Cadastro Único (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,benefitProgram,Brazil_BolsaFamiliaProgramAndSingleRegistrySocialPrograms,brazilCenterLevel,StateLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for the management of the Bolsa Família Program and the Unified Registry at State Level""",nameWithLanguage,"""Valores repassados para a Gestão do Programa Bolsa Família e do Cadastro Único em Estadual nível@pt"""
Valores repassados para Criança Feliz (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,benefitProgram,BRA_CriancaFelizProgram,brazilCenterLevel,MunicipalLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for Criança Feliz at Municipal Level""",nameWithLanguage,"""Valores repassados para Criança Feliz em Municipal nível@pt"""
Valores repassados para Criança Feliz (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,benefitProgram,BRA_CriancaFelizProgram,brazilCenterLevel,StateLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for Criança Feliz at State Level""",nameWithLanguage,"""Valores repassados para Criança Feliz em Estadual nível@pt"""
Valores repassados para a Gestão do Programa Auxílio Brasil (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,benefitProgram,BRA_AuxilioBrazilProgram,brazilCenterLevel,MunicipalLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for the management of the Auxílio Brasil Program at Municipal Level""",nameWithLanguage,"""Valores repassados para a Gestão do Programa Auxílio Brasil em Municipal nível@pt"""
Valores repassados para a Gestão do Programa Auxílio Brasil (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,benefitProgram,BRA_AuxilioBrazilProgram,brazilCenterLevel,StateLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for the management of the Auxílio Brasil Program at State Level""",nameWithLanguage,"""Valores repassados para a Gestão do Programa Auxílio Brasil em Estadual nível@pt"""
Valores repassados para a Proteção Social Especial de Média e Alta Complexidade (Municipal),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_MediumAndHighComplexitySpecializedSocialProtection,brazilCenterLevel,MunicipalLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for Medium and High Complexity Specialized Social Protection at Municipal Level""",nameWithLanguage,"""Valores repassados para a Proteção Social Especial de Média e Alta Complexidade em Municipal nível@pt"""
Valores repassados para a Proteção Social Especial de Média e Alta Complexidade (Estadual),value,{Number},populationType,FinancialTransaction,measuredProperty,fundTransfer,measurementQualifier,Monthly,brazilSystemType,BRA_MediumAndHighComplexitySpecializedSocialProtection,brazilCenterLevel,StateLevel,unit,BRL,observationPeriod,P1M,name,"""Funds transferred for Medium and High Complexity Specialized Social Protection at State Level""",nameWithLanguage,"""Valores repassados para a Proteção Social Especial de Média e Alta Complexidade em Estadual nível@pt"""
Atendimento mensal - CRAS,value,{Number},populationType,Person,measurementQualifier,Monthly,serviceType,BRA_SocialAssistanceReferenceCenters,,,,,,,observationPeriod,P1M,name,"""Number of People who have used Social Assistance Reference service""",nameWithLanguage,"""Quantidade de pessoas que utilizaram mensalmente o serviço do Centro de Referência de Assistência Social@pt"""
Atendimento mensal - CREAS,value,{Number},populationType,Person,measurementQualifier,Monthly,serviceType,BRA_SpecializedReferenceCentersForSocialAssistance,,,,,,,observationPeriod,P1M,name,"""Number of People who have used Specialized Reference Centers for Social Assistance service""",nameWithLanguage,"""Quantidade de pessoas que utilizaram mensalmente o serviço dos Centros de Referência Especializados em Assistência Social@pt"""
Atendimento mensal - Centro POP,value,{Number},populationType,Person,measurementQualifier,Monthly,serviceType,BRA_SpecializedReferenceCenterForHomeless,,,,,,,observationPeriod,P1M,name,"""Number of People who have used Specialized Reference Centers for Homeless service""",nameWithLanguage,"""Quantidade de pessoas que utilizaram mensalmente o serviço dos Centros de Referência Especializados para Pessoas em Situação de Rua@pt"""
Registro Mensal de Atendimentos - total,value,{Number},populationType,Person,measurementQualifier,Monthly,serviceType,Brazil_AllReferenceCenters,,,,,,,observationPeriod,P1M,name,"""Number of People who have used Services""",nameWithLanguage,"""Número de pessoas que usaram o serviço mensalmente@pt"""
Conselho Municipal da Assistência Social Paritário,value,{Number},populationType,CivicStructure,placeCategory,BRA_MunicipalCouncilOfSocialAssistance,councilType,Paritary,,,,,,,observationPeriod,P1M,name,"""Number of Municipal Councils for paritary Social Assistance""",nameWithLanguage,"""Conselho Municipal da Assistência Social Paritário@pt"""
Conselho Municipal da Assistência Social NÃO Paritário,value,{Number},populationType,CivicStructure,placeCategory,BRA_MunicipalCouncilOfSocialAssistance,councilType,NonParitary,,,,,,,observationPeriod,P1M,name,"""Number of Municipal Councils for Non paritary Social Assistance""",nameWithLanguage,"""Conselho Municipal da Assistência Social NÃO Paritário@pt"""
Quantidade de veículos de passeio entregues,value,{Number},populationType,Vehicle,benefitProgram,BRA_MobilityStructureUnifiedSocialAssistanceSystem,vehicleType,PassengerVehicle,vehicleStatus,Delivered,,,,,observationPeriod,P1Y,name,"""Number of Passenger vehicles delivered by Mobility Structure Social Assistance System""",nameWithLanguage,"""Quantidade de veículos de passeio entregues pela Estrutura de Mobilidade no Sistema Único de Assistência Social@pt"""
Quantidade de micro-ônibus entregues,value,{Number},populationType,Vehicle,benefitProgram,BRA_MobilityStructureUnifiedSocialAssistanceSystem,vehicleType,Minibus,vehicleStatus,Delivered,,,,,observationPeriod,P1Y,name,"""Number of Minibuses delivered by Mobility Structure Social Assistance System""",nameWithLanguage,"""Quantidade de micro-ônibus entregues pela Estrutura de Mobilidade no Sistema Único de Assistência Social@pt"""
Quantidade de micro-ônibus NÃO entregues,value,{Number},populationType,Vehicle,benefitProgram,BRA_MobilityStructureUnifiedSocialAssistanceSystem,vehicleType,Minibus,vehicleStatus,NotDelivered,,,,,observationPeriod,P1Y,name,"""Number of Minibuses not delivered by Mobility Structure Social Assistance System""",nameWithLanguage,"""Quantidade de micro-ônibus não entregues pela Estrutura de Mobilidade no Sistema Único de Assistência Social@pt"""
Quantidade de veículos de passeio NÃO entregues,value,{Number},populationType,Vehicle,benefitProgram,BRA_MobilityStructureUnifiedSocialAssistanceSystem,vehicleType,PassengerVehicle,vehicleStatus,NotDelivered,,,,,observationPeriod,P1Y,name,"""Number of Passenger vehicles not delivered by Mobility Structure Social Assistance System""",nameWithLanguage,"""Quantidade de veículos de passeio não entregues pela Estrutura de Mobilidade no Sistema Único de Assistência Social@pt"""
Valor investido na aquisição de veículos de passeio,value,{Number},populationType,EconomicActivity,benefitProgram,BRA_MobilityStructureUnifiedSocialAssistanceSystem,measuredProperty,investment,vehicleType,PassengerVehicle,,,unit,BRL,observationPeriod,P1Y,name,"""Amount invested in the acquisition of passenger vehicles by Mobility Structure Social Assistance System""",nameWithLanguage,"""Valor investido na aquisição de veículos de passeio pela Estrutura de Mobilidade no Sistema Único de Assistência Social@pt"""
Valor investido na aquisição de micro-ônibus,value,{Number},populationType,EconomicActivity,benefitProgram,BRA_MobilityStructureUnifiedSocialAssistanceSystem,measuredProperty,investment,vehicleType,Minibus,,,unit,BRL,observationPeriod,P1Y,name,"""Amount invested in the acquisition of minibuses by Mobility Structure Social Assistance System""",nameWithLanguage,"""Valor investido na aquisição de micro-ônibus pela Estrutura de Mobilidade no Sistema Único de Assistência Social@pt"""
Quantidade total de veículos entregues (doados),value,{Number},populationType,Vehicle,benefitProgram,BRA_MobilityStructureUnifiedSocialAssistanceSystem,,,vehicleStatus,Delivered,,,,,observationPeriod,P1Y,name,"""Number of Vehicles delivered by Mobility Structure Social Assistance System""",nameWithLanguage,"""Quantidade de veículos entregues pela Estrutura de Mobilidade no Sistema Único de Assistência Social@pt"""
Quantidade de Unidades de Acolhimento Municipal,value,{Number},populationType,Shelters,,,brazilCenterLevel,MunicipalLevel,censusStatus,CompletedCensus,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,observationPeriod,P1Y,name,"""Number of Municipal shelters that completed Unified Social Assistance System Census""",nameWithLanguage,"""Quantidade de abrigos municipais que concluíram o Censo do Sistema Único de Assistência Social@pt"""
Quantidade de Unidades de Acolhimento Estadual,value,{Number},populationType,Shelters,,,brazilCenterLevel,StateLevel,censusStatus,CompletedCensus,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,observationPeriod,P1Y,name,"""Number of State shelters that completed Unified Social Assistance System Census""",nameWithLanguage,"""Quantidade de abrigos estaduais que concluíram o Censo do Sistema Único de Assistência Social@pt"""
Quantidade de Unidades de Acolhimento Federal,value,{Number},populationType,Shelters,,,brazilCenterLevel,FederalLevel,censusStatus,CompletedCensus,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,observationPeriod,P1Y,name,"""Number of Federal shelters that completed Unified Social Assistance System Census""",nameWithLanguage,"""Quantidade de abrigos federais que concluíram o Censo do Sistema Único de Assistência Social@pt"""
Total de quantidade das Unidades de Acolhimento,value,{Number},populationType,Shelters,,,,,censusStatus,CompletedCensus,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,observationPeriod,P1Y,name,"""Number of shelters that completed Unified Social Assistance System Census""",nameWithLanguage,"""Quantidade de abrigos que concluíram o Censo do Sistema Único de Assistência Social@pt"""
Município com PMAS Regular - PMAS,value,{Number},populationType,CivicStructure,placeCategory,BRA_RegularModernizationSocialAssistanceProgram,,,,,,,,,observationPeriod,P1M,name,"""Number of Regular Program for Modernization of Social Assistance""",nameWithLanguage,"""Quantidade de Programas Regulares de Modernização da Assistência Social@pt"""
Conselho Municipal da Assistência Social Paritário - CPF,value,{Number},populationType,CivicStructure,placeCategory,BRA_MunicipalCouncilOfSocialAssistance,councilType,Paritary,registeredIn,IndividualTaxpayerRegistry,,,,,observationPeriod,P1M,name,"""Number of Municipal Councils for paritary Social Assistance with Individual Tax Register""",nameWithLanguage,"""Quantidade de Conselhos Municipais de Assistência Social Paritários com Cadastro Único de Beneficiários@pt"""
Município com PMAS Regular - CPF,value,{Number},populationType,CivicStructure,placeCategory,BRA_RegularModernizationSocialAssistanceProgram,registeredIn,IndividualTaxpayerRegistry,,,,,,,observationPeriod,P1M,name,"""Number of Regular Program for Modernization of Social Assistance with Individual Tax Register""",nameWithLanguage,"""Quantidade de Programas Regulares de Modernização da Assistência Social com Cadastro Único de Beneficiários@pt"""
Fundo Municipal da Assistência Social em situação regular - CPF,value,{Number},populationType,CivicStructure,placeCategory,BRA_RegularMunicipalSocialAssistanceFund,registeredIn,IndividualTaxpayerRegistry,,,,,,,observationPeriod,P1M,name,"""Number of Regular Municipal Social Assistance Fund with Individual Tax Register""",nameWithLanguage,"""Quantidade de Fundos Municipais Regulares de Assistência Social com Cadastro Único de Beneficiários@pt"""
Fundo Municipal da Assistência Social em situação regular - FMAS,value,{Number},populationType,CivicStructure,placeCategory,BRA_RegularMunicipalSocialAssistanceFund,,,,,,,,,observationPeriod,P1M,name,"""Number of Regular Municipal Social Assistance Fund""",nameWithLanguage,"""Quantidade de Fundos Municipais Regulares de Assistência Social@pt"""
