key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
Turkmenistan,observationAbout,dcid:country/TKM,,,,,,,,,,
Turks and Caicos Islands,observationAbout,dcid:country/TCA,,,,,,,,,,
Tuvalu,observationAbout,dcid:country/TUV,,,,,,,,,,
Uganda,observationAbout,dcid:country/UGA,,,,,,,,,,
Ukraine,observationAbout,dcid:country/UKR,,,,,,,,,,
North Macedonia,observationAbout,dcid:country/MKD,,,,,,,,,,
Egypt,observationAbout,dcid:country/EGY,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,observationAbout,dcid:country/GBR,,,,,,,,,,
United Republic of Tanzania,observationAbout,dcid:country/TZA,,,,,,,,,,
United States of America,observationAbout,dcid:country/USA,,,,,,,,,,
Burkina Faso,observationAbout,dcid:country/BFA,,,,,,,,,,
Uruguay,observationAbout,dcid:country/URY,,,,,,,,,,
Uzbekistan,observationAbout,dcid:country/UZB,,,,,,,,,,
Venezuela (Bolivarian Republic of),observationAbout,dcid:country/VEN,,,,,,,,,,
Samoa,observationAbout,dcid:country/WSM,,,,,,,,,,
Yemen,observationAbout,dcid:country/YEM,,,,,,,,,,
Montenegro,observationAbout,dcid:country/MNE,,,,,,,,,,
Morocco,observationAbout,dcid:country/MAR,,,,,,,,,,
Oman,observationAbout,dcid:country/OMN,,,,,,,,,,
Europe and Northern America,observationAbout,dcid:undata-geo/G00126000,,,,,,,,,,
Nepal,observationAbout,dcid:country/NPL,,,,,,,,,,
Netherlands (Kingdom of the),observationAbout,dcid:country/NLD,,,,,,,,,,
Oceania (exc. Australia and New Zealand),observationAbout,dcid:undata-geo/G00145000,,,,,,,,,,
New Zealand,observationAbout,dcid:country/NZL,,,,,,,,,,
Nicaragua,observationAbout,dcid:country/NIC,,,,,,,,,,
Nigeria,observationAbout,dcid:country/NGA,,,,,,,,,,
Norway,observationAbout,dcid:country/NOR,,,,,,,,,,
Pakistan,observationAbout,dcid:country/PAK,,,,,,,,,,
Panama,observationAbout,dcid:country/PAN,,,,,,,,,,
Peru,observationAbout,dcid:country/PER,,,,,,,,,,
Poland,observationAbout,dcid:country/POL,,,,,,,,,,
Portugal,observationAbout,dcid:country/PRT,,,,,,,,,,
Guinea-Bissau,observationAbout,dcid:country/GNB,,,,,,,,,,
Timor-Leste,observationAbout,dcid:country/TLS,,,,,,,,,,
Puerto Rico,observationAbout,dcid:country/PRI,,,,,,,,,,
Qatar,observationAbout,dcid:country/QAT,,,,,,,,,,
Romania,observationAbout,dcid:country/ROU,,,,,,,,,,
Russian Federation,observationAbout,dcid:country/RUS,,,,,,,,,,
Rwanda,observationAbout,dcid:country/RWA,,,,,,,,,,
Saint Lucia,observationAbout,dcid:country/LCA,,,,,,,,,,
Saint Vincent and the Grenadines,observationAbout,dcid:country/VCT,,,,,,,,,,
Senegal,observationAbout,dcid:country/SEN,,,,,,,,,,
Serbia,observationAbout,dcid:country/SRB,,,,,,,,,,
South Sudan,observationAbout,dcid:country/SSD,,,,,,,,,,
Jordan,observationAbout,dcid:country/JOR,,,,,,,,,,
Kuwait,observationAbout,dcid:country/KWT,,,,,,,,,,
Lao People's Democratic Republic,observationAbout,dcid:country/LAO,,,,,,,,,,
Lesotho,observationAbout,dcid:country/LSO,,,,,,,,,,
Malawi,observationAbout,dcid:country/MWI,,,,,,,,,,
Mali,observationAbout,dcid:country/MLI,,,,,,,,,,
Mauritania,observationAbout,dcid:country/MRT,,,,,,,,,,
Mongolia,observationAbout,dcid:country/MNG,,,,,,,,,,
Republic of Moldova,observationAbout,dcid:country/MDA,,,,,,,,,,
Mozambique,observationAbout,dcid:country/MOZ,,,,,,,,,,
Nauru,observationAbout,dcid:country/NRU,,,,,,,,,,
Niger,observationAbout,dcid:country/NER,,,,,,,,,,
Niue,observationAbout,dcid:country/NIU,,,,,,,,,,
Brunei Darussalam,observationAbout,dcid:country/BRN,,,,,,,,,,
Chad,observationAbout,dcid:country/TCD,,,,,,,,,,
Zambia,observationAbout,dcid:country/ZMB,,,,,,,,,,
Azerbaijan,observationAbout,dcid:country/AZE,,,,,,,,,,
Armenia,observationAbout,dcid:country/ARM,,,,,,,,,,
Burundi,observationAbout,dcid:country/BDI,,,,,,,,,,
Central African Republic,observationAbout,dcid:country/CAF,,,,,,,,,,
San Marino,observationAbout,dcid:country/SMR,,,,,,,,,,
Sao Tome and Principe,observationAbout,dcid:country/STP,,,,,,,,,,
Tajikistan,observationAbout,dcid:country/TJK,,,,,,,,,,
Namibia,observationAbout,dcid:country/NAM,,,,,,,,,,
Micronesia (Federated States of),observationAbout,dcid:country/FSM,,,,,,,,,,
Paraguay,observationAbout,dcid:country/PRY,,,,,,,,,,
Philippines,observationAbout,dcid:country/PHL,,,,,,,,,,
Kiribati,observationAbout,dcid:country/KIR,,,,,,,,,,
Democratic People's Republic of Korea,observationAbout,dcid:country/PRK,,,,,,,,,,
Djibouti,observationAbout,dcid:country/DJI,,,,,,,,,,
Cabo Verde,observationAbout,dcid:country/CPV,,,,,,,,,,
Cook Islands,observationAbout,dcid:country/COK,,,,,,,,,,
Saint Kitts and Nevis,observationAbout,dcid:country/KNA,,,,,,,,,,
Saudi Arabia,observationAbout,dcid:country/SAU,,,,,,,,,,
Tonga,observationAbout,dcid:country/TON,,,,,,,,,,
United Arab Emirates,observationAbout,dcid:country/ARE,,,,,,,,,,
Marshall Islands,observationAbout,dcid:country/MHL,,,,,,,,,,
Palau,observationAbout,dcid:country/PLW,,,,,,,,,,
Papua New Guinea,observationAbout,dcid:country/PNG,,,,,,,,,,
Eritrea,observationAbout,dcid:country/ERI,,,,,,,,,,
Botswana,observationAbout,dcid:country/BWA,,,,,,,,,,
Libya,observationAbout,dcid:country/LBY,,,,,,,,,,
Türkiye,observationAbout,dcid:country/TUR,,,,,,,,,,
Grenada,observationAbout,dcid:country/GRD,,,,,,,,,,
Iran (Islamic Republic of),observationAbout,dcid:country/IRN,,,,,,,,,,
Antigua and Barbuda,observationAbout,dcid:country/ATG,,,,,,,,,,
Lebanon,observationAbout,dcid:country/LBN,,,,,,,,,,
Africa,observationAbout,dcid:africa,,,,,,,,,,
Americas,observationAbout,dcid:undata-geo/G00134000,,,,,,,,,,
Eastern Mediterranean,observationAbout,dcid:undata-geo/G00121000,,,,,,,,,,
Western Pacific,observationAbout,dcid:undata-geo/G00160000,,,,,,,,,,
World,observationAbout,dcid:Earth,,,,,,,,,,
Bhutan,observationAbout,dcid:country/BTN,,,,,,,,,,
China,observationAbout,dcid:country/CHN,,,,,,,,,,
Solomon Islands,observationAbout,dcid:country/SLB,,,,,,,,,,
Equatorial Guinea,observationAbout,dcid:country/GNQ,,,,,,,,,,
Syrian Arab Republic,observationAbout,dcid:country/SYR,,,,,,,,,,
Vanuatu,observationAbout,dcid:country/VUT,,,,,,,,,,
