National Center for Education Statistics,,,,,,,,,,,,,,,,
"Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2011 and 2014",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
All students,,"792,146","268,046",33.8,,"631,073","168,095",26.6,,"33,025","20,679",62.6,,"128,048","79,272",61.9
Received Pell Grant,,"463,740","155,856",33.6,,"347,453","80,018",23.0,,"21,400","18,014",84.2,,"94,887","57,824",60.9
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"45,640","19,306",42.3,,"30,248","8,291",27.4,,"1,512","1,065",70.4,,"13,880","9,950",71.7
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"282,766","92,884",32.8,,"253,372","79,786",31.5,,"10,113","1,600",15.8,,"19,281","11,498",59.6
,,,,,,,,,,,,,,,,
Less-than-2-year institutions (cohort year 2014),,,,,,,,,,,,,,,,
All students,,"149,142","103,401",69.3,,"17,926","13,272",74.0,,"10,094","7,146",70.8,,"121,122","82,983",68.5
Received Pell Grant,,"106,776","73,065",68.4,,"10,478","7,997",76.3,,"7,655","5,419",70.8,,"88,643","59,649",67.3
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"13,600","10,694",78.6,,"1,005",812,80.8,,602,521,86.5,,"11,993","9,361",78.1
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"28,766","19,642",68.3,,"6,443","4,463",69.3,,"1,837","1,206",65.7,,"20,486","13,973",68.2
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 150 percent of normal time (e.g. ""normal"" program completion time for a bachelor's degree would be 4 years) at the same institution where the student started divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/public/glossary. The glossary is primarily focused on terms used in the current IPEDS collection and may not reflect the definitions in effect when the data in this table were collected.",,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2017–18, Graduation Rates component (final data).",,,,,,,,,,,,,,,,
