,,,
,,,
,,,
,,,
,,,
,,,
State,Indicator,Units,2016
Katsina,Offence Against Persons,Number,51
,Offence Against Property,Number,65
,Offence Against Lawfull Authority,Number,4
,Offence Against Local Acts,Number,0
,Total No of Cases,Number,120
,% Share of Total Cases,%,0.09539709039
Kebbi,Offence Against Persons,Number,656
,Offence Against Property,Number,370
,Offence Against Lawfull Authority,Number,21
,Offence Against Local Acts,Number,108
,Total No of Cases,Number,1155
,% Share of Total Cases,%,0.918196995
Kogi,Offence Against Persons,Number,294
,Offence Against Property,Number,480
,Offence Against Lawfull Authority,Number,17
,Offence Against Local Acts,Number,7
,Total No of Cases,Number,798
,% Share of Total Cases,%,0.6343906511
Kwara,Offence Against Persons,Number,327
,Offence Against Property,Number,614
,Offence Against Lawfull Authority,Number,21
,Offence Against Local Acts,Number,22
,Total No of Cases,Number,984
,% Share of Total Cases,%,0.7822561412
Lagos,Offence Against Persons,Number,15426
,Offence Against Property,Number,22885
,Offence Against Lawfull Authority,Number,6768
,Offence Against Local Acts,Number,306
,Total No of Cases,Number,45385
,% Share of Total Cases,%,36.07997456
Nassarawa,Offence Against Persons,Number,489
,Offence Against Property,Number,725
,Offence Against Lawfull Authority,Number,14
,Offence Against Local Acts,Number,92
,Total No of Cases,Number,1320
,% Share of Total Cases,%,1.049367994
Niger,Offence Against Persons,Number,528
,Offence Against Property,Number,1083
,Offence Against Lawfull Authority,Number,53
,Offence Against Local Acts,Number,105
,Total No of Cases,Number,1769
,% Share of Total Cases,%,1.406312107
Ogun,Offence Against Persons,Number,1122
,Offence Against Property,Number,1112
,Offence Against Lawfull Authority,Number,145
,Offence Against Local Acts,Number,0
,Total No of Cases,Number,2379
,% Share of Total Cases,%,1.891247317
Ondo,Offence Against Persons,Number,1037
,Offence Against Property,Number,1934
,Offence Against Lawfull Authority,Number,521
,Offence Against Local Acts,Number,1
,Total No of Cases,Number,3493
,% Share of Total Cases,%,2.776850306
Osun,Offence Against Persons,Number,258
,Offence Against Property,Number,540
,Offence Against Lawfull Authority,Number,57
,Offence Against Local Acts,Number,333
,Total No of Cases,Number,1188
,% Share of Total Cases,%,0.9444311948
Oyo,Offence Against Persons,Number,1377
,Offence Against Property,Number,1752
,Offence Against Lawfull Authority,Number,314
,Offence Against Local Acts,Number,0
,Total No of Cases,Number,3443
,% Share of Total Cases,%,2.737101518
Plateau,Offence Against Persons,Number,470
,Offence Against Property,Number,1938
,Offence Against Lawfull Authority,Number,145
,Offence Against Local Acts,Number,0
,Total No of Cases,Number,2553
,% Share of Total Cases,%,2.029573098
Rivers,Offence Against Persons,Number,1683
,Offence Against Property,Number,897
,Offence Against Lawfull Authority,Number,271
,Offence Against Local Acts,Number,143
,Total No of Cases,Number,2994
,% Share of Total Cases,%,2.380157405
Sokoto,Offence Against Persons,Number,496
,Offence Against Property,Number,1055
,Offence Against Lawfull Authority,Number,29
,Offence Against Local Acts,Number,0
,Total No of Cases,Number,1580
,% Share of Total Cases,%,1.25606169
Taraba,Offence Against Persons,Number,719
,Offence Against Property,Number,998
,Offence Against Lawfull Authority,Number,55
,Offence Against Local Acts,Number,45
,Total No of Cases,Number,1817
,% Share of Total Cases,%,1.444470944
Yobe,Offence Against Persons,Number,398
,Offence Against Property,Number,520
,Offence Against Lawfull Authority,Number,18
,Offence Against Local Acts,Number,8
,Total No of Cases,Number,944
,% Share of Total Cases,%,0.7504571111
Zamfara,Offence Against Persons,Number,157
,Offence Against Property,Number,303
,Offence Against Lawfull Authority,Number,6
,Offence Against Local Acts,Number,17
,Total No of Cases,Number,483
,% Share of Total Cases,%,0.3839732888
