National Center for Education Statistics,,,,,,,,,,,,,,,,
"Table 02. Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2016 and 2019",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
All students,,"683,269","242,687",35.5,,"567,884","177,201",31.2,,"14,283","8,281",58,,"101,102","57,205",56.6
Received Pell Grant,,"382,809","128,966",33.7,,"297,895","81,927",27.5,,"10,721","5,952",55.5,,"74,193","41,087",55.4
"Received Direct Subsidized Loan, but not a     Pell Grant",,"35,691","15,133",42.4,,"24,223","7,390",30.5,,"1,088",779,71.6,,"10,380","6,964",67.1
Received neither a Pell Grant or a Direct     Subsidized Loan,,"264,769","98,588",37.2,,"245,766","87,884",35.8,,"2,474","1,550",62.7,,"16,529","9,154",55.4
,,,,,,,,,,,,,,,,
Less-than-2-year institutions (cohort year     2019),,,,,,,,,,,,,,,,
All students,,"130,384","85,006",65.2,,"16,774","11,177",66.6,,"4,206","2,868",68.2,,"109,404","70,961",64.9
Received Pell Grant,,"88,640","56,427",63.7,,"8,171","5,942",72.7,,"2,484","1,669",67.2,,"77,985","48,816",62.6
"Received Direct Subsidized Loan, but not a     Pell Grant",,"10,351","7,703",74.4,,697,477,68.4,,323,277,85.8,,"9,331","6,949",74.5
Received neither a Pell Grant or a Direct     Subsidized Loan,,"31,393","20,876",66.5,,"7,906","4,758",60.2,,"1,399",922,65.9,,"22,088","15,196",68.8
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated no later than August 31, 2022 as the total number of completers within 150 percent of normal time (e.g., ""normal"" program completion time for a bachelor's degree would be 4 years) at the same institution where the student started divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/public/glossary. The glossary is primarily focused on terms used in the current IPEDS collection and may not reflect the definitions in effect when the data in this table were collected.",,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2022–23, Graduation Rates component (provisional data).",,,,,,,,,,,,,,,,
