key,,,,,,,,
GeoName,observationAbout,{Data},measuredProperty,amount,populationType,EconomicActivity,grossDomesticProductType,TaxesOnProductionAndImportsLessSubsidies
Description:Food and beverage and tobacco product manufacturing,unit,USDollar,naics,NAICS/311-312,,,,
Description:Textile mills and textile product mills,unit,USDollar,naics,NAICS/313-314,,,,
"Description:Apparel, leather, and allied product manufacturing",unit,USDollar,naics,NAICS/315-316,,,,
Description:Paper manufacturing,unit,USDollar,naics,NAICS/322,,,,
Description:Printing and related support activities,unit,USDollar,naics,NAICS/323,,,,
Description:Petroleum and coal products manufacturing,unit,USDollar,naics,NAICS/324,,,,
Description:Chemical manufacturing,unit,USDollar,naics,NAICS/325,,,,
Description:Plastics and rubber products manufacturing,unit,USDollar,naics,NAICS/326,,,,
Description:Wholesale trade,unit,USDollar,naics,NAICS/42,,,,
Description:Retail trade,unit,USDollar,naics,NAICS/44-45,,,,
Description:Transportation and warehousing,unit,USDollar,naics,NAICS/48-49,,,,
Description:Air transportation,unit,USDollar,naics,NAICS/481,,,,
Description:Rail transportation,unit,USDollar,naics,NAICS/482,,,,
Description:Water transportation,unit,USDollar,naics,NAICS/483,,,,
Description:Truck transportation,unit,USDollar,naics,NAICS/484,,,,
Description:Transit and ground passenger transportation,unit,USDollar,naics,NAICS/485,,,,
Description:Pipeline transportation,unit,USDollar,naics,NAICS/486,,,,
Description:Other transportation and support activities,unit,USDollar,naics,NAICS/487-488-492,,,,
Description:Warehousing and storage,unit,USDollar,naics,NAICS/493,,,,
Description:Information,unit,USDollar,naics,NAICS/51,,,,
Description:Publishing industries (except Internet),unit,USDollar,naics,NAICS/511,,,,
Description:Motion picture and sound recording industries,unit,USDollar,naics,NAICS/512,,,,
Description:Broadcasting (except Internet) and telecommunications,unit,USDollar,naics,NAICS/515-517,,,,
"Description:Data processing, hosting, and other information services",unit,USDollar,naics,NAICS/518-519,,,,
"Description:Finance, insurance, real estate, rental, and leasing",unit,USDollar,naics,NAICS/52-53,,,,
Description:Finance and insurance,unit,USDollar,naics,NAICS/52,,,,
"Description:Monetary Authorities- central bank, credit intermediation, and related services",unit,USDollar,naics,NAICS/521-522,,,,
"Description:Securities, commodity contracts, and other financial investments and related activities",unit,USDollar,naics,NAICS/523,,,,
Description:Insurance carriers and related activities,unit,USDollar,naics,NAICS/524,,,,
"Description:Funds, trusts, and other financial vehicles",unit,USDollar,naics,NAICS/525,,,,
Description:Real estate and rental and leasing,unit,USDollar,naics,NAICS/53,,,,
Description:Real estate,unit,USDollar,naics,NAICS/531,,,,
Description:Rental and leasing services and lessors of nonfinancial intangible assets,unit,USDollar,naics,NAICS/532-533,,,,
Description:Professional and business services,unit,USDollar,naics,NAICS/54-55-56,,,,
"Description:Professional, scientific, and technical services",unit,USDollar,naics,NAICS/54,,,,
Description:Legal services,unit,USDollar,naics,NAICS/5411,,,,
Description:Computer systems design and related services,unit,USDollar,naics,NAICS/5415,,,,
"Description:Miscellaneous professional, scientific, and technical services",unit,USDollar,naics,NAICS/5412-5414-5416-5419,,,,
Description:Management of companies and enterprises,unit,USDollar,naics,NAICS/55,,,,
Description:Administrative and support and waste management and remediation services,unit,USDollar,naics,NAICS/56,,,,
Description:Administrative and support services,unit,USDollar,naics,NAICS/561,,,,
Description:Waste management and remediation services,unit,USDollar,naics,NAICS/562,,,,
"Description:Educational services, health care, and social assistance",unit,USDollar,naics,NAICS/61,,,,
Description:Health care and social assistance,unit,USDollar,naics,NAICS/62,,,,
Description:Ambulatory health care services,unit,USDollar,naics,NAICS/621,,,,
Description:Hospitals,unit,USDollar,naics,NAICS/622,,,,
Description:Nursing and residential care facilities,unit,USDollar,naics,NAICS/623,,,,
Description:Social assistance,unit,USDollar,naics,NAICS/624,,,,
"Description:Arts, entertainment, recreation, accommodation, and food services",unit,USDollar,naics,NAICS/71-72,,,,
"Description:Arts, entertainment, and recreation",unit,USDollar,naics,NAICS/71,,,,
"Description:Performing arts, spectator sports, museums, and related activities",unit,USDollar,naics,NAICS/711-712,,,,
"Description:Amusement, gambling, and recreation industries",unit,USDollar,naics,NAICS/713,,,,
Description:Accommodation and food services,unit,USDollar,naics,NAICS/72,,,,
Description:Accommodation,unit,USDollar,naics,NAICS/721,,,,
Description:Food services and drinking places,unit,USDollar,naics,NAICS/722,,,,
Description:Other services (except government and government enterprises),unit,USDollar,naics,NAICS/81,,,,
Description:Government and government enterprises,unit,USDollar,economicSector,GovernmentSector,,,,
Description:Federal civilian,unit,USDollar,economicSector,FederalCivilian,,,,
Description:Military,unit,USDollar,economicSector,Military,,,,
Description:State and local,unit,USDollar,economicSector,StateAndLocal,,,,
Description:Natural resources and mining,unit,USDollar,naics,NAICS/1011,,,,
Description:Trade,unit,USDollar,economicSector,TradeSector,,,,
Description:Transportation and utilities,unit,USDollar,naics,NAICS/1021,,,,
Description:Manufacturing and information,unit,USDollar,economicSector,ManufacturingAndInformation,,,,
Description:Private goods-producing industries 2/,unit,USDollar,economicSector,PrivateGoodsProducingIndustries2,,,,
Description:Private services-providing industries 3/,unit,USDollar,economicSector,PrivateGoodsProducingIndustries3,,,,
"Description:All industry total, overseas activity",unit,USDollar,economicSector,AllIndustryTotalOverseasActivity,,,,
"Description:Government and government enterprises, overseas activity",unit,USDollar,economicSector,GovernmentAndGovernmentEnterprisesOverseasActivity,,,,
"Description:Federal civilian, overseas activity",unit,USDollar,economicSector,FederalCivilianOverseasActivity,,,,
"Description:Military, overseas activity",unit,USDollar,economicSector,MilitaryOverseasActivity,,,,
1997,observationDate,1997,value,{Number},#Filter,Allow=int(value) >= 0,,
1998,observationDate,1998,value,{Number},#Filter,Allow=int(value) >= 0,,
1999,observationDate,1999,value,{Number},#Filter,Allow=int(value) >= 0,,
2000,observationDate,2000,value,{Number},#Filter,Allow=int(value) >= 0,,
2001,observationDate,2001,value,{Number},#Filter,Allow=int(value) >= 0,,
2002,observationDate,2002,value,{Number},#Filter,Allow=int(value) >= 0,,
2003,observationDate,2003,value,{Number},#Filter,Allow=int(value) >= 0,,
2004,observationDate,2004,value,{Number},#Filter,Allow=int(value) >= 0,,
2005,observationDate,2005,value,{Number},#Filter,Allow=int(value) >= 0,,
2006,observationDate,2006,value,{Number},#Filter,Allow=int(value) >= 0,,
2007,observationDate,2007,value,{Number},#Filter,Allow=int(value) >= 0,,
2008,observationDate,2008,value,{Number},#Filter,Allow=int(value) >= 0,,
2009,observationDate,2009,value,{Number},#Filter,Allow=int(value) >= 0,,
2010,observationDate,2010,value,{Number},#Filter,Allow=int(value) >= 0,,
2011,observationDate,2011,value,{Number},#Filter,Allow=int(value) >= 0,,
2012,observationDate,2012,value,{Number},#Filter,Allow=int(value) >= 0,,
2013,observationDate,2013,value,{Number},#Filter,Allow=int(value) >= 0,,
2014,observationDate,2014,value,{Number},#Filter,Allow=int(value) >= 0,,
2015,observationDate,2015,value,{Number},#Filter,Allow=int(value) >= 0,,
2016,observationDate,2016,value,{Number},#Filter,Allow=int(value) >= 0,,
2017,observationDate,2017,value,{Number},#Filter,Allow=int(value) >= 0,,
2018,observationDate,2018,value,{Number},#Filter,Allow=int(value) >= 0,,
2019,observationDate,2019,value,{Number},#Filter,Allow=int(value) >= 0,,
2020,observationDate,2020,value,{Number},#Filter,Allow=int(value) >= 0,,
2021,observationDate,2021,value,{Number},#Filter,Allow=int(value) >= 0,,
2022,observationDate,2022,value,{Number},#Filter,Allow=int(value) >= 0,,
2023,observationDate,2023,value,{Number},#Filter,Allow=int(value) >= 0,,
2024,observationDate,2024,value,{Number},#Filter,Allow=int(value) >= 0,,
2025,observationDate,2025,value,{Number},#Filter,Allow=int(value) >= 0,,
2026,observationDate,2026,value,{Number},#Filter,Allow=int(value) >= 0,,
2027,observationDate,2027,value,{Number},#Filter,Allow=int(value) >= 0,,
2028,observationDate,2028,value,{Number},#Filter,Allow=int(value) >= 0,,
2029,observationDate,2029,value,{Number},#Filter,Allow=int(value) >= 0,,
2030,observationDate,2030,value,{Number},#Filter,Allow=int(value) >= 0,,
2031,observationDate,2031,value,{Number},#Filter,Allow=int(value) >= 0,,
