StatisticalVariable,ISO3166Alpha3,Year,Value,unit
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2003,75.4176025391,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2004,92.1150588989,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2005,100.2941589355,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2006,116.2412338257,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2007,150.3798065186,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2008,206.1130523682,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2009,207.3460235596,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2010,228.3995208740,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2011,286.1520080566,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2012,333.9366455078,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2013,330.2236328125,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2014,357.8985900879,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2015,290.5036010742,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2016,260.4223937988,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2017,258.4942932129,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2000,2050.6474609375,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2001,2081.2753906250,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2002,2256.3491210938,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2003,2774.0895996094,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2004,3161.4821777344,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2005,3536.1228027344,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2006,3689.7055664062,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2007,4094.5444335938,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2008,4201.7294921875,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2009,3911.8959960938,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2010,3754.7314453125,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2011,4013.9118652344,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2012,3857.1611328125,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2013,4107.7338867188,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2014,4346.2583007812,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2015,3695.0678710938,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2016,3843.7028808594,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AND,2017,4040.7866210938,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2000,12.9630317688,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2001,28.8542461395,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2002,28.9613666534,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2003,34.7182998657,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2004,49.5267257690,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2005,53.9307022095,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2006,69.4246978760,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2007,92.4520111084,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2008,135.2082977295,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2009,119.8086242676,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2010,96.6436996460,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2011,122.1177978516,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2012,122.2429428101,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2013,143.7032165527,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2014,131.7518768311,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2015,108.6806716919,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2016,95.2208023071,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AGO,2017,114.4596405029,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2000,444.9394226074,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2001,497.0965881348,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2002,512.3176879883,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2003,569.6490478516,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2004,547.8710937500,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2005,569.3041992188,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2006,598.2730712891,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2007,675.7179565430,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2008,650.1051025391,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2009,575.2674560547,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2010,631.5810546875,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2011,631.9776611328,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2012,649.8314208984,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2013,660.6138305664,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2014,677.6029052734,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2015,639.5827026367,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2016,632.1753540039,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ATG,2017,673.8596801758,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2000,705.1993408203,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2001,671.5294799805,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2002,222.6219940186,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2003,260.7699890137,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2004,309.7401428223,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2005,390.0584411621,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2006,447.3611755371,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2007,551.7500000000,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2008,694.6824340820,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2009,742.8430175781,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2010,891.1377563477,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2011,1068.6105957031,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2012,1168.0657958984,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2013,1206.9328613281,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2014,1089.5000000000,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2015,1305.3950195312,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2016,959.2915649414,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARG,2017,1324.6035156250,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2000,26.1291160583,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2001,32.2596740723,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2002,59.6339797974,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2003,66.7808151245,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2004,72.1743774414,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2005,96.3551635742,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2006,126.2447052002,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2007,172.5760803223,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2008,266.2564392090,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2009,252.7925262451,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2010,297.2298889160,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2011,330.6855773926,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2012,336.5903625488,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2013,396.7911071777,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2014,406.5928955078,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2015,366.0492248535,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2016,358.8421020508,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/ARM,2017,407.6358642578,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2000,1632.4276123047,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2001,1558.1873779297,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2002,1763.7407226562,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2003,2240.9521484375,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2004,2757.6318359375,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2005,3004.1147460938,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2006,3177.4606933594,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2007,3794.2517089844,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2008,4088.7780761719,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2009,3997.5371093750,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2010,4952.7773437500,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2011,5876.8657226562,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2012,6047.0576171875,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2013,5838.4135742188,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2014,5637.5668945312,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2015,4887.8007812500,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2016,4999.8105468750,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUS,2017,5331.8178710938,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2000,2263.4904785156,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2001,2280.5205078125,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2002,2486.1284179688,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2003,3084.3112792969,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2004,3588.2097167969,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2005,3708.9213867188,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2006,3879.5332031250,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2007,4472.8466796875,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2008,5037.3715820312,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2009,4909.2329101562,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2010,4796.1132812500,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2011,5161.0581054688,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2012,4966.3764648438,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2013,5233.8535156250,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2014,5386.4248046875,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2015,4610.9667968750,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2016,4718.9443359375,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AUT,2017,4939.8754882812,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2000,25.2740631104,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2001,25.5586719513,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2002,27.7648429871,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2003,51.7454261780,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2004,73.9177093506,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2005,115.3431854248,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2006,140.0698699951,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2007,176.6751098633,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2008,224.3975067139,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2009,258.1975708008,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2010,279.2627258301,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2011,325.0741271973,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2012,368.6564025879,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2013,399.3669433594,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2014,432.8713073730,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2015,370.5245361328,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2016,259.4368591309,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AZE,2017,275.8093566895,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2000,1093.6083984375,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2001,1101.0242919922,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2002,1192.5720214844,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2003,1223.7843017578,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2004,1308.6541748047,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2005,1389.4013671875,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2006,1631.4384765625,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2007,1714.8446044922,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2008,1748.4505615234,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2009,1669.9505615234,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2010,1657.5928955078,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2011,1661.6779785156,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2012,1742.7519531250,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2013,1697.3338623047,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2014,1689.1163330078,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2015,1741.9187011719,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2016,1837.2587890625,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHS,2017,1771.5355224609,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2000,485.6842651367,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2001,484.9045715332,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2002,503.0286865234,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2003,567.2358398438,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2004,550.3571166992,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2005,570.2916870117,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2006,591.3137817383,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2007,692.9870605469,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2008,757.7708129883,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2009,785.2914428711,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2010,796.3171386719,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2011,805.2404174805,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2012,971.1656494141,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2013,1066.3664550781,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2014,1100.9914550781,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2015,1128.7558593750,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2016,1099.3623046875,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BHR,2017,1127.1862792969,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2000,8.3050184250,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2001,8.1118059158,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2002,9.0581321716,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2003,9.9635057449,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2004,10.7473058701,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2005,11.2513437271,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2006,11.9584245682,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2007,13.8829603195,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2008,15.3261365891,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2009,17.3835544586,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2010,20.1773605347,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2011,22.1570701599,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2012,22.7478504181,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2013,25.8596572876,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2014,28.8341331482,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2015,31.8414878845,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2016,33.5261917114,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BGD,2017,36.2823371887,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2000,604.5227661133,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2001,623.4923706055,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2002,670.6961669922,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2003,787.9133300781,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2004,922.6547851562,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2005,943.5418701172,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2006,1009.4868774414,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2007,1024.9849853516,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2008,1117.5329589844,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2009,1146.3514404297,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2010,1097.6239013672,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2011,1145.1730957031,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2012,1273.4166259766,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2013,1258.0919189453,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2014,1177.7557373047,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2015,1158.3837890625,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2016,1163.7750244141,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BRB,2017,1183.8361816406,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2000,57.3083686829,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2001,73.8729324341,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2002,86.5405273438,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2003,109.1908416748,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2004,141.8589782715,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2005,197.0819549561,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2006,222.4716186523,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2007,279.4168701172,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2008,349.7126159668,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2009,289.0747375488,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/BLR,2010,341.7745361328,USDollar
