StatisticalVariable,ISO3166Alpha3,Year,Value
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2017,59005.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2018,57394.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2019,55797.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1960,8241137.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1961,8373138.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1962,8512056.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1963,8657977.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1964,8810646.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1965,8970246.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1966,9133645.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1967,9300654.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1968,9475708.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1969,9665503.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1970,9872695.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1971,10095982.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1972,10327925.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1973,10557926.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1974,10772082.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1975,10958232.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1976,11121482.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1977,11259228.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1978,11343620.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1979,11340121.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1980,11220137.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1981,10990181.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1982,10673561.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1983,10312659.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1984,9962974.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1985,9670307.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1986,9430372.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1987,9247189.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1988,9178456.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1989,9365968.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1990,9783754.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1991,10470848.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1992,11392158.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1993,12424891.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1994,13398640.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1995,14194409.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1996,14759602.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1997,15136305.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1998,15416181.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,1999,15736082.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2000,16192155.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2001,16816935.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2002,17569613.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2003,18387486.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2004,19163180.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2005,19829986.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2006,20378030.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2007,20836789.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2008,21257441.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2009,21714081.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2010,22257743.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2011,22904895.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2012,23632788.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2013,24404522.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2014,25165917.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2015,25877997.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2016,26530269.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2017,27131559.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2018,27695286.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/AFG,2019,28244481.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1960,1114818.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1961,1146208.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1962,1180553.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1963,1214693.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1964,1248887.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1965,1282417.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1966,1315273.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1967,1348911.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1968,1386348.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1969,1424962.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1970,1457678.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1971,1489206.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1972,1522477.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1973,1554419.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1974,1585958.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1975,1618163.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1976,1649474.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1977,1681437.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1978,1711648.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1979,1740858.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1980,1769877.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1981,1798543.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1982,1829633.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1983,1861315.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1984,1893194.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1985,1924635.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1986,1954134.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1987,1985256.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1988,2014614.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1989,2060783.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1990,2089320.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1991,2067878.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1992,2037549.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1993,2007405.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1994,1977318.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1995,1947385.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1996,1917515.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1997,1887867.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1998,1858316.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,1999,1828925.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2000,1799636.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2001,1761589.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2002,1723790.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2003,1684768.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2004,1645111.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2005,1604189.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2006,1561661.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2007,1517619.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2008,1473922.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2009,1432259.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2010,1393502.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2011,1358266.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2012,1324613.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2013,1291587.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2014,1258985.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2015,1226200.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2016,1195854.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2017,1167112.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2018,1137407.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/ALB,2019,1106598.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1979,5017.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1980,4713.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1981,4439.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1982,4192.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1983,3979.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1984,3788.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1985,3613.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1986,3448.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1987,3287.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1988,3131.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1989,2974.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1990,2818.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1991,2661.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1992,2501.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1993,2340.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1994,2179.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1995,2016.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1996,1853.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1997,1693.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1998,1541.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,1999,1396.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2000,1261.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2001,1136.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2002,1017.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2003,908.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2004,807.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2005,716.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2006,637.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2007,568.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2008,510.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2009,461.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2010,420.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2011,384.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2012,355.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2013,331.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2014,314.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2015,301.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2016,294.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2017,290.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2018,289.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/ALB,2019,290.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1960,7684109.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1961,7731723.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1962,7760418.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1963,7783587.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1964,7804639.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1965,7826355.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1966,7891247.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1967,8097235.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1968,8311694.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1969,8530684.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1970,8751316.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1971,8973172.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1972,9197427.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1973,9426366.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1974,9663092.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1975,9909819.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1976,10166564.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1977,10386573.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1978,10536605.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1979,10691725.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1980,10852168.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1981,11018346.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1982,11187124.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1983,11355130.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1984,11517502.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1985,11671559.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1986,11814562.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1987,11953235.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1988,12096827.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1989,12227217.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1990,12342362.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1991,12442282.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1992,12525737.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1993,12591017.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1994,12634410.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1995,12654288.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1996,12650696.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1997,12627679.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1998,12586453.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,1999,12519461.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2000,12442038.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2001,12356671.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2002,12263898.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2003,12168749.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2004,12076158.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2005,11990255.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2006,11911270.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2007,11839539.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2008,11774718.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2009,11721662.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2010,11678282.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2011,11645141.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2012,11620781.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2013,11603754.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2014,11591085.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2015,11581514.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2016,11573776.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2017,11567453.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2018,11558343.0000000000
dcs:WorldBank/SP_RUR_TOTL,dcid:country/DZA,2019,11542954.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1960,77160.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1961,79138.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1962,81244.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1963,83346.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1964,85357.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1965,87370.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1966,89408.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1967,91296.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1968,93070.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1969,94563.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1970,95611.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1971,96390.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1972,96800.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1973,96777.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1974,96304.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1975,95320.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1976,93917.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1977,92110.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1978,89756.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1979,86854.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1980,82977.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1981,77977.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1982,71847.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1983,64645.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1984,57152.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1985,50455.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1986,45137.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1987,41130.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1988,38217.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1989,36148.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1990,34550.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1991,33127.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1992,31700.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1993,30158.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1994,28485.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1995,26786.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1996,25150.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1997,23652.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1998,22386.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,1999,21393.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,2000,20625.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/DZA,2001,20046.0000000000
