StatisticalVariable,ISO3166Alpha3,Year,Value,measurementMethod,scalingFactor
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DOM,1996,2.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DOM,2000,1.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DOM,2002,2.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DOM,2007,2.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DOM,2013,2.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ECU,1999,2.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ECU,2004,1.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ECU,2006,2.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ECU,2012,2.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ECU,2014,1.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/EGY,1991,5.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/EGY,1993,3.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/EGY,1995,5.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/EGY,2003,5.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/EGY,2005,5.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/EGY,2008,8.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/EGY,2014,9.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/SLV,1993,1.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/SLV,1998,1.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/SLV,2003,1.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/SLV,2008,2.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/SLV,2014,2.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GNQ,2000,8.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ERI,2002,16.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ERI,2010,15.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/SWZ,2000,1.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/SWZ,2006,3.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/SWZ,2010,0.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/SWZ,2014,2.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ETH,2000,13.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ETH,2005,13.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ETH,2011,11.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ETH,2016,10.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GAB,2000,4.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GAB,2012,3.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GMB,2000,9.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GMB,2006,8.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GMB,2010,10.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GMB,2012,10.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GMB,2013,12.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GMB,2018,6.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GEO,2005,3.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GHA,1998,11.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GHA,2003,8.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GHA,2006,6.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GHA,2008,9.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GHA,2011,7.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GHA,2014,4.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GTM,1995,4.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GTM,1999,3.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GTM,2000,4.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GTM,2002,2.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GTM,2009,1.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GTM,2015,1.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GIN,1999,10.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GIN,2005,11.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GIN,2011,6.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GIN,2012,10.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GIN,2016,8.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GIN,2018,9.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GNB,2000,12.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GNB,2006,9.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GNB,2010,5.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GNB,2014,6.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GUY,2000,13.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GUY,2006,7.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GUY,2009,7.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/GUY,2014,6.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/HTI,1994,10.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/HTI,2000,6.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/HTI,2006,10.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/HTI,2012,5.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/HTI,2017,4.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/HND,2001,1.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/HND,2006,1.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/HND,2012,1.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/IND,2006,20.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/IND,2015,21.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/IRQ,2000,7.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/IRQ,2006,6.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/IRQ,2011,6.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/IRQ,2018,3.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,1991,7.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,1992,2.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,1993,3.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,1994,3.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,1995,3.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,1996,2.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,1997,2.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,1998,3.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,1999,2.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,2000,2.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,2001,3.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,2002,2.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,2004,4.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,2006,4.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,2007,3.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,2008,2.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,2010,5.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,2012,3.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JAM,2014,3.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JOR,1990,4.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JOR,1997,2.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JOR,2002,2.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JOR,2009,1.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/JOR,2012,2.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KAZ,1999,4.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KAZ,2006,5.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KAZ,2010,4.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KAZ,2015,2.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KEN,1993,7.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KEN,1994,7.7000000000,JointChildMalnutritionEstimate,100
