StatisticalVariable,ISO3166Alpha3,Year,Value,measurementMethod,sourceScalingFactor
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHS,2005,0.1070000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHS,2010,0.1090000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHS,2011,0.1100000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHS,2012,0.1110000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHS,2013,0.1120000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHS,2014,0.1120000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHS,2015,0.1140000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHS,2016,0.1150000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHR,2000,0.2240000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHR,2005,0.2370000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHR,2010,0.2500000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHR,2011,0.2520000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHR,2012,0.2540000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHR,2013,0.2560000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHR,2014,0.2580000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHR,2015,0.2600000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHR,2016,0.2640000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGD,2000,0.3140000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGD,2005,0.2820000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGD,2010,0.2530000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGD,2011,0.2480000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGD,2012,0.2440000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGD,2013,0.2400000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGD,2014,0.2350000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGD,2015,0.2320000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGD,2016,0.2300000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRB,2000,0.0830000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRB,2005,0.0800000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRB,2010,0.0790000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRB,2011,0.0790000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRB,2012,0.0790000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRB,2013,0.0790000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRB,2014,0.0780000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRB,2015,0.0780000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRB,2016,0.0780000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BLR,2000,0.3670000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BLR,2005,0.3310000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BLR,2010,0.2990000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BLR,2011,0.2940000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BLR,2012,0.2880000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BLR,2013,0.2820000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BLR,2014,0.2770000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BLR,2015,0.2720000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BLR,2016,0.2670000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEL,2000,0.3740000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEL,2005,0.3410000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEL,2010,0.3110000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEL,2011,0.3060000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEL,2012,0.3010000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEL,2013,0.2960000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEL,2014,0.2910000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEL,2015,0.2860000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEL,2016,0.2820000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEN,2000,0.0910000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEN,2005,0.0810000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEN,2010,0.0720000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEN,2011,0.0710000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEN,2012,0.0690000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEN,2013,0.0680000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEN,2014,0.0670000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEN,2015,0.0650000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BEN,2016,0.0640000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BIH,2000,0.4770000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BIH,2005,0.4430000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BIH,2010,0.4170000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BIH,2011,0.4120000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BIH,2012,0.4070000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BIH,2013,0.4020000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BIH,2014,0.3970000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BIH,2015,0.3940000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BIH,2016,0.3890000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BWA,2000,0.1950000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BWA,2005,0.1950000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BWA,2010,0.1970000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BWA,2011,0.1970000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BWA,2012,0.1970000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BWA,2013,0.1970000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BWA,2014,0.1970000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BWA,2015,0.1970000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BWA,2016,0.2000000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRA,2000,0.2520000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRA,2005,0.2080000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRA,2010,0.1720000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRA,2011,0.1670000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRA,2012,0.1600000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRA,2013,0.1550000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRA,2014,0.1490000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRA,2015,0.1430000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRA,2016,0.1390000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRN,2000,0.1700000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRN,2005,0.1680000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRN,2010,0.1690000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRN,2011,0.1700000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRN,2012,0.1690000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRN,2013,0.1690000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRN,2014,0.1690000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRN,2015,0.1690000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BRN,2016,0.1690000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGR,2000,0.5200000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGR,2005,0.4640000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGR,2010,0.4180000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGR,2011,0.4090000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGR,2012,0.3990000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGR,2013,0.3930000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGR,2014,0.3850000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGR,2015,0.3770000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BGR,2016,0.3700000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BFA,2000,0.1720000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BFA,2005,0.1500000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BFA,2010,0.1360000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BFA,2011,0.1330000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BFA,2012,0.1320000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BFA,2013,0.1300000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BFA,2014,0.1280000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BFA,2015,0.1270000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BFA,2016,0.1250000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CPV,2000,0.1300000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CPV,2005,0.1140000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CPV,2010,0.1020000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CPV,2011,0.1000000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CPV,2012,0.0980000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CPV,2013,0.0960000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CPV,2014,0.0950000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CPV,2015,0.0930000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CPV,2016,0.0910000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/KHM,2000,0.3010000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/KHM,2005,0.2510000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/KHM,2010,0.2100000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/KHM,2011,0.2030000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/KHM,2012,0.1970000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/KHM,2013,0.1890000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/KHM,2014,0.1830000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/KHM,2015,0.1770000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/KHM,2016,0.1720000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CAN,2000,0.2820000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CAN,2005,0.2280000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CAN,2010,0.1840000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CAN,2011,0.1760000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CAN,2012,0.1690000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CAN,2013,0.1630000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CAN,2014,0.1560000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CAN,2015,0.1500000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CAN,2016,0.1430000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CHL,2000,0.5660000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CHL,2005,0.4960000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CHL,2010,0.4360000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CHL,2011,0.4260000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CHL,2012,0.4150000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CHL,2013,0.4060000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CHL,2014,0.3960000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/CHL,2015,0.3870000000,dcs:AgeAdjusted,100.0000000000
