StatisticalVariable,ISO3166Alpha3,Year,Value,measurementMethod
dcid:Count_Person_InLaborForce,dcid:country/ALB,2019,1313923.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,1990,6477684.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,1991,6735697.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,1992,6981431.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,1993,7259986.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,1994,7539786.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,1995,7796586.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,1996,8049219.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,1997,8251657.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,1998,8460263.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,1999,8670493.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2000,8880362.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2001,9106753.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2002,9326409.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2003,9543850.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2004,9763250.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2005,9984693.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2006,10196156.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2007,10400864.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2008,10601186.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2009,10800785.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2010,11075077.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2011,11294110.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2012,11533225.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2013,12002172.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2014,11585753.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2015,11742189.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2016,11904866.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2017,12051687.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2018,12173459.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/DZA,2019,12303926.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,1990,4844454.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,1991,4997629.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,1992,5161494.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,1993,5342686.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,1994,5518908.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,1995,5697881.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,1996,5875950.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,1997,6067249.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,1998,6270582.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,1999,6486187.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2000,6712338.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2001,6936488.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2002,7167634.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2003,7419387.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2004,7682222.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2005,7959356.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2006,8244573.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2007,8546658.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2008,8866821.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2009,9209352.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2010,9560441.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2011,9910112.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2012,10270167.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2013,10646623.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2014,11034611.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2015,11437925.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2016,11848410.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2017,12268842.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2018,12705486.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AGO,2019,13164276.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,1990,13580769.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,1991,13858142.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,1992,14149418.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,1993,14466817.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,1994,14760835.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,1995,14931890.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,1996,15233042.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,1997,15583456.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,1998,15883645.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,1999,16082632.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2000,16324711.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2001,16519968.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2002,16592778.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2003,16978859.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2004,17375102.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2005,17521844.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2006,17833649.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2007,17855169.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2008,17877897.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2009,18229085.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2010,18222853.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2011,18557537.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2012,18770957.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2013,18931350.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2014,19009264.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2015,19360544.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2016,19696452.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2017,20035267.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2018,20551682.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARG,2019,20772672.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,1990,1422950.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,1991,1405666.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,1992,1375031.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,1993,1336754.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,1994,1298639.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,1995,1266047.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,1996,1245939.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,1997,1233426.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,1998,1226818.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,1999,1222890.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2000,1219082.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2001,1221450.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2002,1222954.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2003,1224345.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2004,1227033.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2005,1231694.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2006,1234371.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2007,1238954.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2008,1243022.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2009,1253006.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2010,1310196.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2011,1341719.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2012,1351021.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2013,1360350.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2014,1348081.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2015,1334775.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2016,1310061.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2017,1303653.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2018,1303093.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ARM,2019,1303565.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,1990,8498895.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,1991,8543473.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,1992,8617736.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,1993,8652449.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,1994,8821491.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,1995,9026446.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,1996,9155096.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,1997,9221985.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,1998,9323232.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,1999,9417078.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2000,9603309.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2001,9790082.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2002,9946953.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2003,10127333.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2004,10247722.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2005,10557407.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2006,10803715.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2007,10974112.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2008,11266230.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2009,11503673.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2010,11702473.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2011,11870404.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2012,12032218.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2013,12206719.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2014,12350344.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2015,12585539.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2016,12742247.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2017,12989073.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2018,13254463.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUS,2019,13414956.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,1990,3568280.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,1991,3617487.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,1992,3696441.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,1993,3731731.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,1994,3827586.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,1995,3862031.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,1996,3834266.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,1997,3823947.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,1998,3859067.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,1999,3888031.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2000,3899049.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2001,3886923.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2002,3972924.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2003,3992277.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2004,3891230.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2005,4017205.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2006,4074387.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2007,4162676.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2008,4209458.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2009,4256745.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2010,4276558.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2011,4305238.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2012,4352557.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2013,4394140.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2014,4412653.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2015,4460833.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2016,4537043.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2017,4566743.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2018,4601213.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AUT,2019,4613292.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,1990,2897192.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,1991,2936261.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,1992,3013834.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,1993,3103070.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,1994,3188705.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,1995,3258293.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,1996,3305940.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,1997,3348852.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,1998,3389934.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,1999,3439523.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,2000,3498495.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,2001,3567682.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AZE,2002,3637708.0000000000,dcs:InternationalLaborOrganization
