typeOf,dcid,location,observationAbout,purchaseType,incentiveCategory,incentiveCategoryStr,url,incentiveName,incentiveType,incentiveAmount,incentiveAmount1,provider,#input
FinancialIncentive,incentive/AM_e.gaf.am_42a5223c0ea2ba9e,Armenia,Armenia,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://re.gaf.am/index7kom.html\",\"German-Armenian Fund (GAF) Green Loan Program\",dcid:RedemptionTypeLoan,,,\"German-Armenian Fund (GAF)\",input_files/financial_incentives_data.csv:5:1
FinancialIncentive,incentive/AM_e.gaf.am_42a5223c0ea2ba9e,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://re.gaf.am/index7kom.html\",\"German-Armenian Fund (GAF) Green Loan Program\",dcid:RedemptionTypeLoan,Number,,\"German-Armenian Fund (GAF)\",input_files/financial_incentives_data.csv:5:12
FinancialIncentive,incentive/AT_oly-energy.at_7f01e2e49eb4abae,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://soly-energy.at/sonnenkollektoren/photovoltaik-vor-nachteile/\",\"OeMAG-Förderung\",dcid:RedemptionTypeRebateOrSubsidy,,,\"OeMAG\",input_files/financial_incentives_data.csv:6:17
FinancialIncentive,incentive/AT_oly-energy.at_7f01e2e49eb4abae,Austria,Austria,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://soly-energy.at/sonnenkollektoren/photovoltaik-vor-nachteile/\",\"OeMAG-Förderung\",dcid:RedemptionTypeRebateOrSubsidy,,,\"OeMAG\",input_files/financial_incentives_data.csv:6:1
FinancialIncentive,incentive/AT_oly-energy.at_7f01e2e49eb4abae,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://soly-energy.at/sonnenkollektoren/photovoltaik-vor-nachteile/\",\"OeMAG-Förderung\",dcid:RedemptionTypeRebateOrSubsidy,Number,,\"OeMAG\",input_files/financial_incentives_data.csv:6:12
FinancialIncentive,incentive/AT_das-ewerk.at_4acca7e10b143c22,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.das-ewerk.at/de/sonnenkraft/foerdungen.php\",\"E-Werk Gröbming Investitionskostenzuschuss\",dcid:RedemptionTypeRebateOrSubsidy,,,\"E-Werk Gröbming\",input_files/financial_incentives_data.csv:7:17
FinancialIncentive,incentive/AT_das-ewerk.at_4acca7e10b143c22,Austria,Austria,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.das-ewerk.at/de/sonnenkraft/foerdungen.php\",\"E-Werk Gröbming Investitionskostenzuschuss\",dcid:RedemptionTypeRebateOrSubsidy,,,\"E-Werk Gröbming\",input_files/financial_incentives_data.csv:7:1
FinancialIncentive,incentive/AT_das-ewerk.at_4acca7e10b143c22,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.das-ewerk.at/de/sonnenkraft/foerdungen.php\",\"E-Werk Gröbming Investitionskostenzuschuss\",dcid:RedemptionTypeRebateOrSubsidy,Number,,\"E-Werk Gröbming\",input_files/financial_incentives_data.csv:7:12
FinancialIncentive,incentive/AT_energieregion-vorderwald.at_14bf89401830740b,,,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.energieregion-vorderwald.at/foerderungen-pv-2021\",\"illwerke vkw Photovoltaik-Einspeisevergütung\",dcid:RedemptionTypeRebateOrSubsidy,,,\"illwerke vkw\",input_files/financial_incentives_data.csv:8:17
FinancialIncentive,incentive/AT_energieregion-vorderwald.at_14bf89401830740b,Austria,Austria,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.energieregion-vorderwald.at/foerderungen-pv-2021\",\"illwerke vkw Photovoltaik-Einspeisevergütung\",dcid:RedemptionTypeRebateOrSubsidy,,,\"illwerke vkw\",input_files/financial_incentives_data.csv:8:1
FinancialIncentive,incentive/AT_energieregion-vorderwald.at_14bf89401830740b,,,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.energieregion-vorderwald.at/foerderungen-pv-2021\",\"illwerke vkw Photovoltaik-Einspeisevergütung\",dcid:RedemptionTypeRebateOrSubsidy,Number,,\"illwerke vkw\",input_files/financial_incentives_data.csv:8:12
FinancialIncentive,incentive/AT_mission-solar.at_242c6dce4b29d32a,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.mission-solar.at/tirol\",\"Tirol PV Einmalzuschuss\",dcid:RedemptionTypeRebateOrSubsidy,\"[5000 EUR]\",,\"Bundesland Tirol\",input_files/financial_incentives_data.csv:9:17
FinancialIncentive,incentive/AT_mission-solar.at_242c6dce4b29d32a,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.mission-solar.at/tirol\",\"Tirol PV Einmalzuschuss\",dcid:RedemptionTypeRebateOrSubsidy,,,\"Bundesland Tirol\",input_files/financial_incentives_data.csv:9:17
FinancialIncentive,incentive/AT_mission-solar.at_242c6dce4b29d32a,Austria,Austria,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.mission-solar.at/tirol\",\"Tirol PV Einmalzuschuss\",dcid:RedemptionTypeRebateOrSubsidy,\"[5000 EUR]\",,\"Bundesland Tirol\",input_files/financial_incentives_data.csv:9:1
FinancialIncentive,incentive/AT_mission-solar.at_242c6dce4b29d32a,Austria,Austria,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.mission-solar.at/tirol\",\"Tirol PV Einmalzuschuss\",dcid:RedemptionTypeRebateOrSubsidy,,,\"Bundesland Tirol\",input_files/financial_incentives_data.csv:9:1
FinancialIncentive,incentive/AT_tiwag.at_749820bc33c42679,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.tiwag.at/unternehmen/presse/pressemitteilungen/\",\"TIWAG Batteriespeicher-Förderung\",dcid:RedemptionTypeRebateOrSubsidy,,,\"TIWAG-Tiroler Wasserkraft AG\",input_files/financial_incentives_data.csv:10:17
FinancialIncentive,incentive/AT_tiwag.at_749820bc33c42679,Austria,Austria,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.tiwag.at/unternehmen/presse/pressemitteilungen/\",\"TIWAG Batteriespeicher-Förderung\",dcid:RedemptionTypeRebateOrSubsidy,,,\"TIWAG-Tiroler Wasserkraft AG\",input_files/financial_incentives_data.csv:10:1
FinancialIncentive,incentive/AT_tiwag.at_749820bc33c42679,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.tiwag.at/unternehmen/presse/pressemitteilungen/\",\"TIWAG Batteriespeicher-Förderung\",dcid:RedemptionTypeRebateOrSubsidy,Number,,\"TIWAG-Tiroler Wasserkraft AG\",input_files/financial_incentives_data.csv:10:12
FinancialIncentive,incentive/AT_wien.gv.at_4f113d5cfd98706e,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.wien.gv.at/amtshelfer/bauen-wohnen/energie/alternativenergie/oekostromanlagen.html\",\"Wien PV Investment Cost Subsidy\",dcid:RedemptionTypeRebateOrSubsidy,,,\"Stadt Wien\",input_files/financial_incentives_data.csv:11:17
FinancialIncentive,incentive/AT_wien.gv.at_4f113d5cfd98706e,Austria,Austria,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.wien.gv.at/amtshelfer/bauen-wohnen/energie/alternativenergie/oekostromanlagen.html\",\"Wien PV Investment Cost Subsidy\",dcid:RedemptionTypeRebateOrSubsidy,,,\"Stadt Wien\",input_files/financial_incentives_data.csv:11:1
FinancialIncentive,incentive/AT_wien.gv.at_4f113d5cfd98706e,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://www.wien.gv.at/amtshelfer/bauen-wohnen/energie/alternativenergie/oekostromanlagen.html\",\"Wien PV Investment Cost Subsidy\",dcid:RedemptionTypeRebateOrSubsidy,Number,,\"Stadt Wien\",input_files/financial_incentives_data.csv:11:12
FinancialIncentive,incentive/AT_energieinstitut.at_4e25550efe4acefd,,,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.energieinstitut.at/foerderkompass/landesfoerderungen-fuer-private/foerderung-photovoltaik-pv\",\"illwerke vkw Photovoltaik-Einspeisevergütung\",dcid:RedemptionTypeRebateOrSubsidy,,,\"illwerke vkw\",input_files/financial_incentives_data.csv:12:17
FinancialIncentive,incentive/AT_energieinstitut.at_4e25550efe4acefd,\"Vorarlberg Austria\",\"Vorarlberg Austria\",dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.energieinstitut.at/foerderkompass/landesfoerderungen-fuer-private/foerderung-photovoltaik-pv\",\"illwerke vkw Photovoltaik-Einspeisevergütung\",dcid:RedemptionTypeRebateOrSubsidy,,,\"illwerke vkw\",input_files/financial_incentives_data.csv:12:1
FinancialIncentive,incentive/AT_energieinstitut.at_4e25550efe4acefd,,,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.energieinstitut.at/foerderkompass/landesfoerderungen-fuer-private/foerderung-photovoltaik-pv\",\"illwerke vkw Photovoltaik-Einspeisevergütung\",dcid:RedemptionTypeRebateOrSubsidy,Number,,\"illwerke vkw\",input_files/financial_incentives_data.csv:12:12
FinancialIncentive,incentive/AU_mpsev.com.au_ee0a601dacc0788,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://ampsev.com.au/solar-battery/\",\"Victorian Energy Efficiency Certificates (VEECs)\",dcid:RedemptionTypeRebateOrSubsidy,,,\"Victorian Government\",input_files/financial_incentives_data.csv:13:17
FinancialIncentive,incentive/AU_mpsev.com.au_ee0a601dacc0788,Australia,dcid:country/AUS,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://ampsev.com.au/solar-battery/\",\"Victorian Energy Efficiency Certificates (VEECs)\",dcid:RedemptionTypeRebateOrSubsidy,,,\"Victorian Government\",input_files/financial_incentives_data.csv:13:1
