key,prop,val,p1,val1,p2,v2,p3,v3,p4,v4,p5,v5
PCPIU_CP_07_IX,consumerGoodsCategory,Transport,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_07_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_08_IX,consumerGoodsCategory,Communication,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_08_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_09_IX,consumerGoodsCategory,RecreationAndCulture,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_09_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_10_IX,consumerGoodsCategory,Education,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_10_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_11_IX,consumerGoodsCategory,RestaurantsAndHotels,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_11_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_12_IX,consumerGoodsCategory,"MiscellaneousGoodsAndServices,",placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_12_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_IX,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_0111_IX,consumerGoodsCategory,BreadAndCereals ,,,,,,,,,,
PCPI_CP_0111_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_0112_IX,consumerGoodsCategory,Meat,,,,,,,,,,
PCPI_CP_0112_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_0114_IX,consumerGoodsCategory,Fish,,,,,,,,,,
PCPI_CP_0114_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_0117_IX,consumerGoodsCategory,Vegetables,,,,,,,,,,
PCPI_CP_0117_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_012_IX,consumerGoodsCategory,NonAlcoholicBeverages,,,,,,,,,,
PCPI_CP_012_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_01_IX,consumerGoodsCategory,FoodAndNonAlcoholicBeverages,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_01_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_0111_IX,consumerGoodsCategory,BreadAndCereals ,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_0111_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_0112_IX,consumerGoodsCategory,Meat,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_0112_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_0114_IX,consumerGoodsCategory,Fish,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_0114_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_0117_IX,consumerGoodsCategory,Vegetables,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_0117_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_012_IX,consumerGoodsCategory,NonAlcoholicBeverages,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_012_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_02_IX,consumerGoodsCategory,AlcoholicBeveragesAndTobacco,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_02_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_03_IX,consumerGoodsCategory,ClothingAndFootwear,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_03_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_04_IX,consumerGoodsCategory,HousingWaterElectricityGasAndOtherFuels,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_04_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_05_IX,consumerGoodsCategory,FurnishingHouseholdEquipmentAndRoutineHouseholdMaintenance,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_05_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_06_IX,consumerGoodsCategory,Health,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_06_WT,#Ignore,ignore,,,,,,,,,,
FREQ:M,observationPeriod,P1M,,,,,,,,,,
2009-02,observationDate,2009-02,,,,,,,,,,
2009-03,observationDate,2009-03,,,,,,,,,,
2009-04,observationDate,2009-04,,,,,,,,,,
2009-05,observationDate,2009-05,,,,,,,,,,
2009-06,observationDate,2009-06,,,,,,,,,,
2009-07,observationDate,2009-07,,,,,,,,,,
2009-08,observationDate,2009-08,,,,,,,,,,
2009-09,observationDate,2009-09,,,,,,,,,,
2009-10,observationDate,2009-10,,,,,,,,,,
2009-11,observationDate,2009-11,,,,,,,,,,
2009-12,observationDate,2009-12,,,,,,,,,,
2010-01,observationDate,2010-01,,,,,,,,,,
2010-02,observationDate,2010-02,,,,,,,,,,
2010-03,observationDate,2010-03,,,,,,,,,,
2010-04,observationDate,2010-04,,,,,,,,,,
2010-05,observationDate,2010-05,,,,,,,,,,
2010-06,observationDate,2010-06,,,,,,,,,,
2010-07,observationDate,2010-07,,,,,,,,,,
2010-08,observationDate,2010-08,,,,,,,,,,
2010-09,observationDate,2010-09,,,,,,,,,,
2010-10,observationDate,2010-10,,,,,,,,,,
2010-11,observationDate,2010-11,,,,,,,,,,
2010-12,observationDate,2010-12,,,,,,,,,,
2011-01,observationDate,2011-01,,,,,,,,,,
2011-02,observationDate,2011-02,,,,,,,,,,
2011-03,observationDate,2011-03,,,,,,,,,,
2011-04,observationDate,2011-04,,,,,,,,,,
2011-05,observationDate,2011-05,,,,,,,,,,
2011-06,observationDate,2011-06,,,,,,,,,,
2011-07,observationDate,2011-07,,,,,,,,,,
2011-08,observationDate,2011-08,,,,,,,,,,
2011-09,observationDate,2011-09,,,,,,,,,,
2011-10,observationDate,2011-10,,,,,,,,,,
2011-11,observationDate,2011-11,,,,,,,,,,
2011-12,observationDate,2011-12,,,,,,,,,,
2012-01,observationDate,2012-01,,,,,,,,,,
2012-02,observationDate,2012-02,,,,,,,,,,
2012-03,observationDate,2012-03,,,,,,,,,,
2012-04,observationDate,2012-04,,,,,,,,,,
2012-05,observationDate,2012-05,,,,,,,,,,
2012-06,observationDate,2012-06,,,,,,,,,,
2012-07,observationDate,2012-07,,,,,,,,,,
2012-08,observationDate,2012-08,,,,,,,,,,
2012-09,observationDate,2012-09,,,,,,,,,,
2012-10,observationDate,2012-10,,,,,,,,,,
2012-11,observationDate,2012-11,,,,,,,,,,
2012-12,observationDate,2012-12,,,,,,,,,,
2013-01,observationDate,2013-01,,,,,,,,,,
2013-02,observationDate,2013-02,,,,,,,,,,
2013-03,observationDate,2013-03,,,,,,,,,,
2013-04,observationDate,2013-04,,,,,,,,,,
2013-05,observationDate,2013-05,,,,,,,,,,
2013-06,observationDate,2013-06,,,,,,,,,,
2013-07,observationDate,2013-07,,,,,,,,,,
2013-08,observationDate,2013-08,,,,,,,,,,
2013-09,observationDate,2013-09,,,,,,,,,,
2013-10,observationDate,2013-10,,,,,,,,,,
2013-11,observationDate,2013-11,,,,,,,,,,
2013-12,observationDate,2013-12,,,,,,,,,,
2014-01,observationDate,2014-01,,,,,,,,,,
2014-02,observationDate,2014-02,,,,,,,,,,
2014-03,observationDate,2014-03,,,,,,,,,,
2014-04,observationDate,2014-04,,,,,,,,,,
2014-05,observationDate,2014-05,,,,,,,,,,
2014-06,observationDate,2014-06,,,,,,,,,,
2014-07,observationDate,2014-07,,,,,,,,,,
2014-08,observationDate,2014-08,,,,,,,,,,
2014-09,observationDate,2014-09,,,,,,,,,,
2014-10,observationDate,2014-10,,,,,,,,,,
2014-11,observationDate,2014-11,,,,,,,,,,
2014-12,observationDate,2014-12,,,,,,,,,,
2015-01,observationDate,2015-01,,,,,,,,,,
2015-02,observationDate,2015-02,,,,,,,,,,
2015-03,observationDate,2015-03,,,,,,,,,,
2015-04,observationDate,2015-04,,,,,,,,,,
2015-05,observationDate,2015-05,,,,,,,,,,
2015-06,observationDate,2015-06,,,,,,,,,,
2015-07,observationDate,2015-07,,,,,,,,,,
2015-08,observationDate,2015-08,,,,,,,,,,
2015-09,observationDate,2015-09,,,,,,,,,,
2015-10,observationDate,2015-10,,,,,,,,,,
2015-11,observationDate,2015-11,,,,,,,,,,
2015-12,observationDate,2015-12,,,,,,,,,,
2016-01,observationDate,2016-01,,,,,,,,,,
2016-02,observationDate,2016-02,,,,,,,,,,
2016-03,observationDate,2016-03,,,,,,,,,,
2016-04,observationDate,2016-04,,,,,,,,,,
2016-05,observationDate,2016-05,,,,,,,,,,
2016-06,observationDate,2016-06,,,,,,,,,,
2016-07,observationDate,2016-07,,,,,,,,,,
2016-08,observationDate,2016-08,,,,,,,,,,
2016-09,observationDate,2016-09,,,,,,,,,,
2016-10,observationDate,2016-10,,,,,,,,,,
2016-11,observationDate,2016-11,,,,,,,,,,
2016-12,observationDate,2016-12,,,,,,,,,,
2017-01,observationDate,2017-01,,,,,,,,,,
2017-02,observationDate,2017-02,,,,,,,,,,
2017-03,observationDate,2017-03,,,,,,,,,,
2017-04,observationDate,2017-04,,,,,,,,,,
2017-05,observationDate,2017-05,,,,,,,,,,
2017-06,observationDate,2017-06,,,,,,,,,,
2017-07,observationDate,2017-07,,,,,,,,,,
2017-08,observationDate,2017-08,,,,,,,,,,
2017-09,observationDate,2017-09,,,,,,,,,,
2017-10,observationDate,2017-10,,,,,,,,,,
2017-11,observationDate,2017-11,,,,,,,,,,
2017-12,observationDate,2017-12,,,,,,,,,,
2018-01,observationDate,2018-01,,,,,,,,,,
2018-02,observationDate,2018-02,,,,,,,,,,
2018-03,observationDate,2018-03,,,,,,,,,,
2018-04,observationDate,2018-04,,,,,,,,,,
2018-05,observationDate,2018-05,,,,,,,,,,
2018-06,observationDate,2018-06,,,,,,,,,,
2018-07,observationDate,2018-07,,,,,,,,,,
2018-08,observationDate,2018-08,,,,,,,,,,
2018-09,observationDate,2018-09,,,,,,,,,,
2018-10,observationDate,2018-10,,,,,,,,,,
2018-11,observationDate,2018-11,,,,,,,,,,
2018-12,observationDate,2018-12,,,,,,,,,,
2019-01,observationDate,2019-01,,,,,,,,,,
